"","condition","other_party","other_attitude","Q1.attT1_1","Q2.att_1","Q3.receparg","Q4.recepoarg","Q5.recepgen","Q6.recepogen","Q7.valueco","Q7.valuewv","Q8.valuemoral","Q9.compcheck","Q11.similarlib","Q11.similarcons","Q11.conslibotherMC","Q12.importance","dem.ideology","dem.state","dem.gender","dem.gender_TEXT","dem.age","dem.eth_1","dem.eth_2","dem.eth_3","dem.eth_4","dem.eth_5","dem.eth_6","dem.eth_7","optin_1","optin_2","optin_3","FR.question","Exclude"
"42","control","liberal","in support of",0,0,2,4,3,3,4,4,2,1,4,5,3,7,5,"Pennsylvania",1,"",33,NA,NA,NA,NA,NA,1,NA,1,1,1,"If healthcare was universal nobody would have to declare bankruptcy due to medical bills. In a system with universal healthcare nobody would go without medical care. In a universal healthcare system everybody would be entitled to the same treatment regardless of their wealth. ",""
"43","PT","conservative","against",100,100,2,4,2,3,4,7,4,1,5,3,5,7,1,"Massachusetts",1,"",28,NA,NA,NA,NA,NA,1,NA,1,1,NA,"Government control of the market will remove price signals from the system of health provision. The lack of price signals will lead to inefficient resource allocation and shortages. The ultimate effect will be worse health outcomes than a health system organized around free-market principles.",""
"44","control","conservative","against",70,75,4,5,4,5,3,3,3,1,4,4,5,6,4,"GA",1,"",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"Competition in a market place benefits all participants in that market by providing incentive for innovation and reduced prices. Universal health care removes a significant amount of competition by relying on a single payer. Further, one could argue that the move to a single payer system moves agency away from individuals - some economists hold that money is most efficiently allocated by an individual earning and utilizing it on themselves, and least efficiently by a third party who spends it on another third party. In other words, it's very easy to squander money when you didn't earn it and you aren't benefiting from its allocation.",""
"45","PT","liberal","in support of",20,25,3,3,4,4,6,6,4,1,3,6,3,4,6,"Puerto Rico",1,"",24,NA,NA,1,NA,NA,NA,NA,1,1,1,"Access to healthcare is a fundamental human right that everyone should have. X countries in Europe implemented this and had success. ",""
"46","control","conservative","against",70,70,3,5,5,5,4,5,5,1,5,3,6,5,3,"Maryland",1,"",30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"it necessarily requires that money be redistributed from those who are well off to those who are less well off. The mechanism/entity that manages and provides for universal healthcare -- i.e., the government -- suffers from being inefficient and ineffective at other tasks, so adding an additional complex task is likely to achieve similar results. Finally, the cost is potentially too high.",""
"47","control","liberal","in support of",15,15,3,6,5,5,1,6,4,1,4,6,2,7,5,"Michigan",1,"",47,NA,NA,NA,NA,NA,1,NA,1,1,NA,"It would take care of people who have no insurance likely through no fault of their own.  People would no longer have to take jobs they hate just for the healthcare coverage.",""
"48","PT","liberal","in support of",0,0,2,3,3,4,5,5,4,1,4,6,2,6,7,"Virginia",1,"",41,NA,NA,NA,NA,NA,1,NA,1,1,1,"Health care is a right, and no one should have to go without medical care because they can't afford it, or go bankrupt just because they got sick. Therefore, the government has an obligation to make decent health care available to everyone regardless of ability to pay.",""
"49","control","liberal","in support of",35,35,5,5,4,5,5,5,5,1,3,5,2,6,5,"Texas",1,"",31,NA,NA,NA,NA,NA,1,NA,1,1,NA,"The scalability of costs could bring down the average visit price",""
"50","PT","liberal","in support of",20,20,4,4,2,2,3,3,4,1,4,6,3,6,5,"Wisconsin",1,"",37,NA,NA,NA,NA,NA,1,NA,1,1,1,"It is unfair that people are struck blindly by life and get put in a position that the cost of Healthcare can completely ruin them. The cost is outrageous, and having people use emergency rooms as their only option is shameful.  Universal health care would mean everyone gets equal treatment and therefore is a moral imperative. ",""
"51","control","liberal","in support of",21,24,6,6,5,6,3,2,2,1,5,4,6,4,5,"Ohio ",1,"",24,NA,NA,NA,NA,NA,1,NA,1,1,NA,"The current Healthcare system in the United States is poorly implemented and designed to allow extreme abuses by insurance companies and Healthcare providers towards patients in the form of massive and unjustified price hikes. Many Americans are unable to afford even basic Healthcare, and this often leads to them not seeking treatment until it becomes severe, at which point the overall cost becomes much worse than yearly preventive tests. Under a universal Healthcare system, these people would be able to get preventive care and treatment for their conditions, which would improve their quality of life. This is ultimately one of the main reasons for a government to exist, and therefore universal Healthcare is a necessary program to implement. ",""
"52","PT","liberal","in support of",0,0,2,2,1,3,2,6,7,1,1,5,2,1,6,"Michigan",1,"",30,NA,NA,NA,NA,NA,1,NA,1,1,NA,"Due to the great wealth in the US, access to medical care should not be blocked due to financial conditions. We should tax the upper brackets to subsidize the poor. By cutting out the middle men we will make insurance more affordable.",""
"53","PT","liberal","in support of",14,17,2,6,2,6,7,7,7,1,4,6,2,7,6,"Ohio",1,"",28,NA,NA,NA,NA,NA,1,NA,1,1,1,"Health care is a human right and as a result the state has a responsibility to ensure it's available to all. All other civilized nations have some form of universal health care; the US should catch up. ",""
"54","control","conservative","in support of",0,0,1,1,1,1,7,7,4,1,4,4,4,7,2,"Massachusetts",1,"",35,1,NA,NA,NA,NA,NA,NA,1,1,1,"Universal healthcare would ensure that everyone has healthcare. ",""
"55","control","conservative","against",84,85,2,2,1,1,6,6,6,1,6,4,5,7,3,"Virginia",1,"",39,NA,1,NA,NA,NA,NA,NA,1,1,1,"People should be responsible for their own fate. The government should be limited and not involve itself in the private insurance business.",""
"56","PT","conservative","against",100,100,7,1,7,2,2,6,6,1,6,3,5,7,2,"Kansas",1,"",35,NA,NA,NA,NA,NA,1,NA,NA,1,NA,"Would not like the government to be in control of health care, thinks it is over reach. Doesn't like 'socialism'. ",""
"57","PT","liberal","in support of",0,0,2,3,2,3,6,5,5,1,7,7,3,7,6,"Illinois",1,"",22,NA,NA,NA,NA,NA,1,NA,1,1,1,"The cost of healthcare keeps going up and has already become too expensive for most people. It would cost less overall if we had a universal healthcare system. Other countries in the world already have some sort of state-run healthcare systems and the United States should follow their lead. ",""
"58","PT","liberal","in support of",0,0,2,7,6,5,2,6,2,1,5,7,2,5,6,"Wisconsin",1,"",41,NA,NA,NA,NA,NA,1,NA,1,1,1,"Everyone deserves a few basic things like having access to clean water, healthcare, and a decent paying job. Nobody should have to suffer or worry about their health whilst greedy corporations and their shareholders horde wealth. These systems have already been proven to work in European countries so there's no reason we cannot as well with all the wealth of this nation.",""
"59","control","liberal","in support of",8,8,4,4,4,4,2,2,2,1,2,6,3,5,7,"Indiana",1,"",31,NA,NA,NA,NA,NA,1,NA,1,1,1,"That it's cheaper than our current system because spending is set by Congress.  Most profit incentives are removed and insurance is kind of moot.  It does provide for everyone and automatically solves the emergency care problem.  ",""
"60","PT","liberal","in support of",0,0,3,4,4,4,4,5,5,1,5,6,3,5,5,"California",1,"",28,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"The costs of health care in the United States are astronomical.  Moreover, our health outcomes are not necessarily better-achieved under the current system; whereas, in some European countries, universal health care provides better quality care at lower costs.  The United States should adopt universal health care not only because it's the moral thing to do, but also because it will ensure that everyone has access to health care.",""
"61","control","conservative","against",85,85,5,5,5,4,4,4,4,1,4,3,4,5,3,"California",1,"",36,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"That it's expensive to taxpayers. It's an entitlement program and constitutes a transfer of wealth from wealthier Americans to poorer Americans. ",""
"62","control","conservative","against",100,100,2,6,2,3,5,5,6,1,5,2,5,6,2,"Indiana",1,"",36,NA,NA,NA,NA,NA,1,NA,1,1,1,"One of the key arguments against universal healthcare is that the free market provides a better distribution of scarce resources.  In this case that means access to healthcare.  With limited resources such as doctors, it is important that they see patients who are able to pay for their services.  If the system were to be taken off of the free market, then the availability of doctors might decrease due to less compensation, further restricting the availability of healthcare to members of society who can afford to pay for it.  ",""
"63","PT","conservative","against",100,100,3,2,2,3,6,6,7,1,6,3,6,7,2,"California",2,"",37,NA,NA,NA,NA,NA,1,NA,1,1,1,"that their tax dollars shouldn't pay for the poor health choices others make and that each person should pay their own way. I imagine their position might also be to let the free market determine health prices. ",""
"64","control","liberal","in support of",15,15,3,3,4,5,6,7,5,1,2,5,3,3,6,"New Jersey",1,"",21,NA,NA,1,NA,NA,1,NA,1,NA,NA,"One argument I have commonly seen used in favor of universal health care is that healthcare is a human right. As such, it must be guaranteed by the government and financed by taxation. ",""
"65","PT","conservative","against",100,100,3,4,3,4,2,2,3,1,5,2,5,6,3,"Texas",2,"",40,NA,NA,NA,NA,NA,1,NA,1,1,1,"Universal health care will be too expensive to implement and will generate too great a burden on the taxpayer. People should be responsible for their own health and finances, and it shouldn't fall to others to bear the cost of their decisions. ",""
"66","PT","liberal","in support of",0,0,1,1,1,1,7,7,7,1,1,3,3,3,6,"North Carolina",2,"",25,NA,NA,NA,NA,NA,1,NA,1,1,1,"He might say that healthcare prices are too high under our current system and that universal healthcare will lower prices. He's wrong, of course.",""
"67","control","liberal","in support of",25,29,3,5,4,4,7,6,4,1,1,6,3,4,6,"New York",1,"",18,NA,NA,NA,NA,NA,1,NA,1,1,NA,"The implementation of UHC could save hundreds of lives.  Also, the right to health care is a human right.  ",""
"68","PT","conservative","in support of",25,25,6,6,4,4,5,5,3,1,4,4,5,5,4,"Nevada",2,"",23,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Universal health care would allow for all members of society to have equal access to health care services. Treating health problems as they arrive can alleviate government costs in the future, such as treatment for more severe medical conditions. This can allow for money to be spent elsewhere, such as education or national defense.",""
"69","control","conservative","against",100,100,7,1,1,1,5,2,2,1,3,1,7,4,4,"Rhode Island",1,"",25,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Greed and selfishness or not looking out for ones self-interest. That's all their is. Or perhaps some sort of misguided pride.",""
"70","control","liberal","against",70,65,5,5,4,7,4,5,7,1,6,4,2,7,4,"DE",2,"",50,NA,NA,NA,NA,NA,1,NA,1,1,1,"Is healthcare a right or a privilege? Can we as a country really afford healthcare for all? Do we even have enough general doctors let alone specialists to accommodate everyone. How do reimbursements work for doctors? ",""
"71","PT","conservative","against",78,97,1,1,1,5,7,7,7,1,5,1,5,6,2,"Ohio",1,"",32,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Everyone should be responsible for their own healthcare. They shouldn't be required to pay taxes to support poor people. They feel the capitalist system has worked for America and there's no reason it shouldn't work in healthcare ",""
"72","control","liberal","in support of",32,37,3,4,3,3,3,4,5,1,6,6,3,5,5,"North Carolina",1,"",26,NA,NA,NA,NA,NA,1,1,1,1,1,"Everyone is given the same treatment regardless of economic standing. This is important as healthy individuals are good for the collective society in that they are better able to produce for that society. ",""
"73","control","conservative","against",90,90,1,5,1,5,7,4,3,1,6,3,5,7,2,"Washington DC",1,"",19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"It it much to expensive. The cost associated with providing all people healthcare is so high as to make it impractical.",""
"74","PT","liberal","in support of",10,10,1,2,2,2,6,6,4,1,1,5,1,5,6,"Indiana",1,"",31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"""It works in other countries!"" - It doesn't, without major faults. / ""It'll save lives!"" - It won't, and puts your life in the hands of your government. / ""It'll be cheaper!"" - It's not, everyone pays for it.",""
"75","PT","conservative","against",100,100,3,5,3,5,7,7,7,1,6,3,6,7,2,"Missouri",1,"",24,NA,1,NA,NA,NA,NA,NA,1,1,1,"Universal health care would lower the quality of care that healthcare providers could give. ",""
"76","control","conservative","against",100,100,7,7,4,4,4,4,4,1,7,1,7,5,2,"Minnesota",1,"",43,NA,NA,NA,NA,NA,1,NA,1,NA,1,"It costs a lot of money.  Taxes would have to go up in some form, possibly income tax.",""
"77","control","conservative","against",100,100,2,2,2,2,2,2,2,1,6,2,5,6,3,"GA",1,"",36,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"People don't want assume responsibility for other people's health decisions. Something along the lines of ""I try hard to be fit and healthy, so I shouldn't be required to subsidize those that choose to eat twinkies all day""",""
"78","control","conservative","against",65,60,5,6,5,4,6,4,3,1,5,6,6,5,3,"Georgia",2,"",29,NA,NA,NA,NA,NA,1,NA,1,1,1,"People would not get to choose their provider. Their taxes may be raised and they might not need as much healthcare as someone else. Why should you pay as much for healthcare when someone else gets sick or injured more often?",""
"79","control","conservative","against",100,100,4,5,3,2,5,5,4,1,6,4,5,6,2,"NE",2,"",30,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"In other countries with UHC there are issues with getting a new PCP and pediatricians. Also elective surgeries are sometimes difficult to schedule as doctors prioritize other surgeries that are necessary. These wait lists can be annoying to people. ",""
"80","PT","conservative","against",90,90,3,4,3,2,6,5,2,1,5,3,5,6,2,"GA",1,"",32,NA,NA,NA,NA,NA,1,NA,1,1,1,"It shouldn't be my family's responsibility to take care of someone else's family. Life is hard, and if you don't have the resources to take care of yourself, that's on you.",""
"81","PT","conservative","against",100,100,7,7,7,7,4,4,4,1,3,4,5,7,2,"Wa",1,"",42,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"Taxes are too high, and too many people take advantage of government assistance as it is. ",""
"82","control","conservative","against",100,100,2,5,6,4,2,2,3,1,5,4,5,7,3,"NC",1,"",50,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"A limited number of facilities will cause long waits. People who could before see docs whenever would need to schedule far out. Competition for a limited resource. ",""
"83","PT","conservative","against",100,100,4,4,2,2,3,1,1,1,5,2,7,7,2,"Michigan",2,"",54,NA,NA,NA,NA,NA,1,NA,1,1,1,"The cost of UHC, and where the money to pay for it will come from",""
"84","control","conservative","against",100,100,3,3,2,3,2,4,5,1,3,3,6,6,2,"Massachusetts ",1,"",51,NA,NA,NA,NA,NA,1,NA,1,1,1,"People should support themselves rather than rely on others to provide for their needs. Healthy communities are built from strong, independent individuals. ",""
"85","control","conservative","against",81,83,3,4,3,4,4,4,3,1,4,3,6,6,2,"Oklahoma",2,"",40,NA,NA,NA,NA,NA,1,NA,1,1,1,"A flood of the market meaning long wait times and subpar services. ",""
"86","PT","conservative","against",100,100,5,7,6,6,6,6,7,1,6,2,5,6,2,"SC",2,"",44,NA,NA,NA,NA,NA,1,NA,1,1,1,"They might believe that since they are young and healthy, they do not want their tax money to go to sick or unhealthy individuals.",""
"87","control","conservative","against",85,85,5,5,4,5,2,3,4,1,5,2,6,6,3,"Ohio",1,"",30,NA,NA,NA,NA,NA,1,NA,1,1,1,"The cost. Who will pay for it, how will it be implemented (the infrastructure to support it, the staff needed to assist); the country is running a massive budget deficit and this will surely only add to it.",""
"88","PT","conservative","against",100,100,5,5,4,4,4,5,6,1,6,5,6,7,2,"Oklahoma",2,"",27,NA,NA,NA,1,1,1,NA,1,NA,NA,"They don't want to pay for other people's health care. They already think they pay enough taxes, and having more is unthinkable. ",""
"89","control","conservative","against",100,100,2,2,1,2,7,7,7,1,4,2,3,6,1,"DC",2,"",33,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"It is too expensive, it will cost taxpayers too much and burden people. It is unfair for people to get something from the government without having worked for it. It's socialist. It's inefficient. It hasn't worked in other countries and is going bankrupt",""
"90","PT","conservative","against",100,100,5,5,4,3,3,3,4,1,5,2,5,7,3,"Arizona",2,"",54,NA,NA,NA,NA,NA,1,NA,1,1,1,"That people or states should own the responsibility for providing their own healthcare and that we don't want everyone basically on health welfare with the government having to take care of them",""
"91","PT","conservative","against",78,78,3,3,2,2,6,3,2,1,5,1,7,5,2,"Alabama ",2,"",32,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"He probably thinks it's the individuals responsibility to pay for health care and should ""get a job"" ",""
