PNo;Gender;Age;SuccessSlopeCond;InfPRIMARYControl;ThreeInARowCond;Canadian;DBC_IOC_HotMachine;DBC_IOC_Familiar;DBC_Sup_MagicNos;DBC_IOC_DiceWin;DBC_Sup_Ritual;DBC_Sup_Horoscope;DBC_Sup_PlayerVsMach;DBC_Sup_Fate;DBC_IOC_GamblingSystem;DBC_IOC_HeadsTails;DBC_Sup_ChanceGame;DBC_IOC_Secrets;DBC_Sup_LuckyPen;DBC_Sup_LuckyClothes;DBC_IOC_LotteryNos;DBC_IOC_Sportsperson;DBC_IOC_BornLucky;DBC_Sup_Superstitious;DBC_IOC_LongLosing;DBC_IOC_MachineSystem;DBC_Sup_LuckyCharm;DBC_Sup_LotterySystem;DBC_Sup;DBC_IOC;DBC_Total;SoccerInterest;QAccListSkill;QAccListLuckyMoments;QAccListPlayers;QAccListStrategy;QAccListLuckyPlay;QAccListLuck;QAccListLuckyPerson;QAccListSoccerKnowl;QAccListBET;QAccListCHANCE;QAccListPractice;QAccListComputerGames;QAccListDeserve;QAccListGoalieMoves;QAccListKickDirn;QStrategyPresent;QStrategyDescr;Q100RoundsGoal;QChancesOfWinning;QChancesOfWinning_Odds;QHowManySingle;QHowManySingleCaptionType;QHowManySingleWins;QOutcomeSeq;QOutcomeSeqOther
32;0;24;Even;0.312851058;Not present;13;Agree;Agree;Agree;Agree;Disagree;Neutral;Agree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Agree;Neutral;Neutral;Neutral;Disagree;Agree;Disagree;Agree;34;34;68;Very little;2;3;5;4;5;4;2;2;6;5;2;6;2;2;4;No;                                                                                                                                                                                                        ;20;5;20;80;misses;20;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
33;0;20;U-shaped;-1.090777008;Present;0;Neutral;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Neutral;Neutral;Agree;Neutral;20;24;44;Strongly;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;No;                                                                                                                                                                                                        ;13;12;8.333333333;10;goals;10;Noticeably more wins occurred at the beginning AND at the end;                                                                                                                                                                                                        
34;0;18;U-shaped;-0.288477305;Not present;1;Agree;Neutral;Agree;Neutral;Agree;Neutral;Disagree;Disagree;Agree;Strongly disagree;Neutral;Agree;Agree;Neutral;Neutral;Agree;Agree;Disagree;Disagree;Neutral;Neutral;Agree;34;35;69;Not at all;1;1;4;2;1;3;1;1;3;10;2;1;1;1;2;No;                                                                                                                                                                                                        ;5;10;10;5;goals;5;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
35;1;19;U-shaped;-1.053877887;Present;0;Neutral;Agree;Neutral;Agree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Neutral;Disagree;Disagree;28;30;58;Mildly;0;6;0;0;0;0;0;0;3;10;0;0;5;0;0;No;                                                                                                                                                                                                        ;4;10;10;5;goals;5;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
36;1;18;U-shaped;-1.078285713;Not present;1;Agree;Strongly agree;Neutral;Agree;Neutral;Agree;Agree;Disagree;Disagree;Agree;Agree;Strongly agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Neutral;Neutral;Agree;Strongly agree;42;44;86;Very little;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;12;8;12.5;85;misses;15;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
37;0;19;Even;1.031929905;Present;2;Neutral;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Neutral;Agree;Disagree;Agree;Disagree;Agree;Disagree;Agree;Agree;Neutral;Neutral;Neutral;Disagree;Neutral;26;37;63;Not at all;5;6;5;6;5;3;7;10;4;9;4;6;4;0;5;Yes;bet 100 credits 3 times in a row and pick a particular way to shoot that 3 times in a row                                                                                                               ;25;5;20;20;goals;20;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
38;0;18;End;0.525718235;Not present;2;Neutral;Disagree;Disagree;Agree;Disagree;Strongly disagree;Agree;Disagree;Agree;Strongly disagree;Agree;Agree;Agree;Disagree;Disagree;Neutral;Agree;Neutral;Disagree;Disagree;Disagree;Neutral;29;31;60;Mildly;5;0;4;4;4;0;0;4;7;8;5;5;0;0;4;No;                                                                                                                                                                                                        ;5;15;6.666666667;10;goals;10;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
39;1;18;Beginning;-0.064523776;Present;2;Neutral;Neutral;Agree;Agree;Disagree;Agree;Agree;Agree;Neutral;Agree;Disagree;Agree;Disagree;Disagree;Agree;Agree;Strongly agree;Neutral;Neutral;Neutral;Disagree;Disagree;31;40;71;Very little;4;6;6;4;0;0;2;0;3;10;2;2;0;2;5;No;                                                                                                                                                                                                        ;15;20;5;20;goals;20;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
40;0;25;End;-0.728281563;Present;1;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;22;24;46;Very little;0;1;0;0;1;0;5;0;10;10;0;0;0;1;10;No;                                                                                                                                                                                                        ;10;6;16.66666667;10;goals;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
41;0;24;Beginning;-0.875447028;Not present;0;Disagree;Disagree;Disagree;Neutral;Disagree;Strongly disagree;Disagree;Disagree;Neutral;Strongly agree;Disagree;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Strongly disagree;Disagree;Agree;Disagree;Agree;22;33;55;Mildly;0;0;5;0;0;0;0;0;5;10;0;0;0;0;5;No;                                                                                                                                                                                                        ;35;6;16.66666667;70;misses;30;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
42;0;19;Even;-0.937661918;Not present;3;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Agree;Neutral;Disagree;Neutral;Disagree;Agree;Neutral;Disagree;Disagree;Agree;29;25;54;Strongly;0;0;2;0;0;0;0;0;0;10;0;0;0;0;5;No;                                                                                                                                                                                                        ;18;8;12.5;15;goals;15;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
43;0;25;End;-0.987085526;Present;0;Agree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Strongly agree;18;22;40;Very strongly;0;0;5;0;0;0;0;0;10;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;20;5;5;goals;5;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
44;0;24;Beginning;-0.91606975;Present;0;Disagree;Disagree;Neutral;Agree;Neutral;Strongly disagree;Strongly disagree;Neutral;Agree;Disagree;Disagree;Agree;Disagree;Neutral;Strongly disagree;Disagree;Agree;Neutral;Strongly disagree;Disagree;Disagree;Disagree;25;28;53;Very little;0;0;0;0;6;0;6;0;6;10;0;0;0;0;0;No;                                                                                                                                                                                                        ;10;15;6.666666667;10;goals;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
45;0;19;Even;0.115057517;Present;2;Disagree;Agree;Neutral;Agree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Agree;Disagree;Agree;Neutral;Agree;Agree;Agree;Agree;Neutral;Neutral;Neutral;Disagree;Agree;26;38;64;Not at all;2;6;2;1;6;2;3;3;7;9;1;5;4;3;6;No;                                                                                                                                                                                                        ;10;10;10;90;misses;10;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
46;0;19;End;-0.190659409;Not present;2;Agree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Neutral;Agree;Disagree;Disagree;Agree;Agree;Disagree;Neutral;Agree;Disagree;Agree;Disagree;Neutral;Disagree;Agree;29;33;62;Not at all;1;5;4;4;3;2;1;3;5;9;1;3;1;2;1;No;                                                                                                                                                                                                        ;10;10;10;90;misses;10;Noticeably more wins occurred at the end;                                                                                                                                                                                                        
47;1;19;Beginning;-0.790362077;Not present;0;Agree;Agree;Strongly disagree;Neutral;Disagree;Strongly disagree;Disagree;Agree;Disagree;Neutral;Disagree;Disagree;Strongly disagree;Disagree;Agree;Strongly agree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Agree;22;32;54;Strongly;0;0;1;5;0;0;0;0;0;10;0;0;0;2;4;No;                                                                                                                                                                                                        ;5;20;5;20;goals;20;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
48;0;24;Even;-0.945747304;Not present;1;Disagree;Disagree;Disagree;Neutral;Disagree;Strongly disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Neutral;Disagree;Agree;Disagree;Disagree;Disagree;Neutral;Disagree;Agree;Disagree;Agree;26;27;53;Mildly;0;0;0;5;0;0;0;0;5;8;0;0;0;0;3;No;                                                                                                                                                                                                        ;30;4;25;30;goals;30;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
49;0;19;U-shaped;-1.02379391;Not present;0;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Strongly disagree;Disagree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;26;16;42;Mildly;0;0;0;0;0;0;0;0;3;10;0;0;0;0;3;No;                                                                                                                                                                                                        ;15;25;4;95;misses;5;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
50;1;18;Even;0.963638854;Not present;0;Neutral;Agree;Disagree;Agree;Neutral;Agree;Neutral;Neutral;Neutral;Disagree;Neutral;Strongly agree;Agree;Agree;Agree;Neutral;Disagree;Agree;Neutral;Agree;Agree;Agree;38;37;75;Not at all;2;2;0;7;2;0;0;0;4;6;8;9;0;3;7;No;                                                                                                                                                                                                        ;30;3;33.33333333;40;misses;60;Noticeably more wins occurred during the middle rounds;                                                                                                                                                                                                        
51;1;18;U-shaped;0.813512125;Not present;0;Agree;Neutral;Agree;Agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Neutral;Disagree;Strongly disagree;Strongly agree;Strongly agree;Agree;Agree;Strongly disagree;Strongly agree;Disagree;Agree;Strongly agree;Agree;48;35;83;Mildly;5;10;10;5;0;0;10;0;10;10;5;0;5;5;10;No;                                                                                                                                                                                                        ;12;10;10;90;misses;10;Noticeably more wins occurred at the beginning;                                                                                                                                                                                                        
52;1;20;U-shaped;0.606403893;Present;0;Neutral;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Strongly disagree;Agree;Disagree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;24;27;51;Strongly;3;5;6;3;3;3;4;1;5;9;4;5;1;3;6;No;                                                                                                                                                                                                        ;15;5;20;70;misses;30;Wins were relatively evenly spaced out across rounds;                                                                                                                                                                                                        
