"","X","MID","condition","side","party","Q1.att_1","Q2.attT2_1","Q3.congruent","Q4.fitworldview","Q5.morals","Q6.important","Q7.coremoral","Q8.elab.deep","Q8.elab.effort","Q8.elab.thought","Q9.lib.simval","Q10.cons.simval","recep1.arg","recep2.arg","recep3.gen","recep4.gen","dem.gender","dem.age","dem.eth","dem.ideology","argument.x","att.check","username","timer","argument.y","Exclude."
"12",12,"528c6751","control","in favor of","",27,20,1,1,1,7,7,7,7,7,7,1,7,4,1,1,2,2,6,2,"while i am in favor of less spending on the military, taking away the food stamp program in replacement of this system will cause damage to many struggling citizens who do in fact honor the system as it stands. and also people who are in a middle income bracket will be forced to basically work under a mock commision base, like a car salesperson. that to me is highly unfair.",3,"886b047a",1,"while I am in favor of less spending on the military, taking away the food stamp program in replacement of this system will cause damage to many struggling citizens who do in fact honor the system as it stands. and also people who are in a middle income bracket will be forced to basically work under a mock commision base, like a car salesperson. that to me is highly unfair.","Y"
"13",13,"34154809","same party argument","against","liberal",90,47,5,4,5,5,4,4,5,4,5,6,5,4,5,4,2,2,2,2,"some people might take advantage of the system. Whenever free money like this is given, you know people will be lined up out the door to try and scam for that money. Another issue is where will the money come from? It won't grow on trees so giving everyone that benefit will have to come from somewhere.",1,"342c227f",687,"some people might take advantage of the system. Whenever free money like this is given, you know people will be lined up out the door to try and scam for that money. Another issue is where will the money come from? It won't grow on trees so giving everyone that benefit will have to come from somewhere.",""
"14",14,"c4b23e53","same party argument","against","liberal",98,100,1,1,1,7,7,7,4,4,7,4,7,7,7,7,2,2,6,2,"I think you mean conservative. UBI is almost exclusively liberal. And remember, everything isn't black and white. /  / Considering Ubi is not perfect or shelled out or specific on how it's supposed to be ran through taxation of automation or through other means. This question is full of holes. /  /  / ",3,"b33a26b7",386,"I think you mean conservative. UBI is almost exclusively liberal. And remember, everything isn't black and white. /  / Considering UBI is not perfect or shelled out or specific on how it's supposed to be ran through taxation of automation or through other means. This question is full of holes. /  /  / ","Y"
"15",15,"7568381a","same party argument","against","liberal",100,100,3,3,4,3,4,1,1,1,4,1,2,2,2,2,1,2,2,2,"it undermines the concept of working hard. People will become lazy.",3,"e84a9845",782,"it undermines the concept of working hard. People will become lazy.",""
"16",16,"91a4342b","same party argument","against","conservative",56,27,5,5,5,2,6,5,6,6,3,6,5,5,3,5,2,3,6,6,"they are in favor of less government.  With this in mind, they wouldn't want to government to hand out money.",3,"6e2d87bb",632,"they are in favor of less government.  With this in mind, they wouldn't want to government to hand out money.",""
"17",17,"1df49618","control","in favor of","",0,0,1,1,1,1,7,7,7,7,1,7,1,1,1,1,2,4,6,7,"A universal basic income can make people dependent on government. They often lose interest in finding work and become a drain on society.",2,"e9d61c4b",1,"A Universal Basic Income can make people dependent on government. They often lose interest in finding work and become a drain on society.","Y"
"18",18,"cde56c4b","control","in favor of","",35,35,3,3,3,3,4,3,3,3,2,6,3,3,3,3,1,1,6,6,"It is a basic human right to have access to food, water, and shelter.  Failure to provide these rights for citizens is inhumane.",3,"346b9801",1,"It is a basic human right to have access to food, water, and shelter.  Failure to provide these rights for citizens is inhumane.",""
"19",19,"39e9b31d","opposing party argument","against","conservative",100,100,7,7,7,7,7,7,7,7,7,1,1,1,2,4,2,3,6,1,"What have these people done to earn that income? They need to work hard like anyone else does to earn that money.",3,"20ae91de",462,"What have these people done to earn that income? They need to work hard like anyone else does to earn that money.",""
"20",20,"15c31e0c","opposing party argument","in favor of","conservative",0,7,6,5,5,3,6,3,4,4,3,5,6,6,5,5,2,1,1,3,"They may find it benefits them because it gets rid of food stamps. They also would be getting some money too.",3,"401dffbd",722,"They may find it benefits them because it gets rid of food stamps. They also would be getting some money too.",""
"21",21,"f15724be","opposing party argument","against","conservative",73,78,5,4,5,5,5,5,4,5,6,2,5,6,5,6,2,1,6,2,"It takes away money from people who work harder then others.",3,"63535c26",502,"It takes away money from people who work harder then others.",""
"22",22,"cab87941","control","in favor of","",20,28,5,3,5,2,3,5,4,5,5,2,4,5,3,4,2,2,6,3,"If, as some commentators predict, technology and automation will eventually begin to replace a large number of workers in the economy, then unemployment may rise in the future and not return to previous levels. In that case, a larger percentage of the working-age population may be permanently unemployed. As all people deserve basic necessities like food and shelter, in such an economy, unemployment insurance would likely no longer suffice, so UBI would help provide a better social safety net for those out of work.",3,"e4562aa",1,"If, as some commentators predict, technology and automation will eventually begin to replace a large number of workers in the economy, then unemployment may rise in the future and not return to previous levels. In that case, a larger percentage of the working-age population may be permanently unemployed. As all people deserve basic necessities like food and shelter, in such an economy, unemployment insurance would likely no longer suffice, so UBI would help provide a better social safety net for those out of work.",""
"23",23,"af8fdc9c","opposing party argument","against","conservative",100,100,7,7,7,7,7,6,5,5,6,2,3,3,2,2,2,3,6,2,"This policy would create dependency on the government. It would lead to a sense of entitlement. It would a de-incentive  people to work.",3,"ce0eeb8",101,"This policy would create dependency on the government. It would lead to a sense of entitlement. It would a de-incentive  people to work.",""
"24",24,"53b48bde","control","against","",94,96,2,2,2,6,6,4,3,4,6,2,2,6,3,6,1,1,6,1,"It will be abused. People who are working hard will have to pay higher taxes for people who are not working hard enough.",3,"87c1fdc1",1,"It will be abused. People who are working hard will have to pay higher taxes for people who are not working hard enough.",""
"25",25,"b20399e9","control","in favor of","",0,0,7,7,7,1,7,5,5,5,3,5,1,1,1,1,2,3,6,6,"One argument could be that all citizen receive the money they need for basic necessities. This could offset the need for other social programs such as food stamps.",3,"855ca6c9",1,"One argument could be that all citizen receive the money they need for basic necessities. This could offset the need for other social programs such as food stamps.",""
"26",26,"8f0f037","same party argument","against","liberal",81,89,3,2,2,6,5,7,6,6,5,2,4,4,2,3,2,1,6,3,"I think one argument a liberal would have against it would be the power that corporations and the government have over consumers at that point. Another argument would be we might lose our incentives to work hard and push through adversity if we're given free money. ",3,"2b12b",729,"I think one argument a liberal would have against it would be the power that corporations and the government have over consumers at that point. Another argument would be we might lose our incentives to work hard and push through adversity if we're given free money. ",""
"27",27,"ded3032a","same party argument","against","liberal",100,100,2,2,1,5,6,5,5,6,6,1,6,6,2,2,2,4,6,2,"I think a true liberal would not be against this program. However one argument would be that it doesn't give people an incentive to better themselves if they do not have to do anything to get a sustainable UBI. No one would want to get educated or strive for better in life. ",3,"f2c6814b",878,"I think a true liberal would not be against this program. However one argument would be that it doesn't give people an incentive to better themselves if they do not have to do anything to get a sustainable UBI. No one would want to get educated or strive for better in life. ",""
"28",28,"bec78e72","opposing party argument","in favor of","liberal",26,25,5,5,5,2,4,2,2,3,3,5,2,5,3,3,2,1,6,5,"All humans have the right to life. Certain people may not be able to afford the things necessary to live, so it is the government's duty to support them.",3,"861400e1",689,"All humans have the right to life. Certain people may not be able to afford the things necessary to live, so it is the government's duty to support them.",""
"29",29,"7355f71c","opposing party argument","against","conservative",100,100,6,7,6,6,6,4,3,4,5,1,5,5,2,2,1,3,1,2,"This is simply wasting money from our government. We could be using the money to strengthen our military in a world where terrorism runs rampant but instead we are giving away free money to people who don't care to work for it.",3,"cbae1e98",77,"This is simply wasting money from our government. We could be using the money to strengthen our military in a world where terrorism runs rampant but instead we are giving away free money to people who don't care to work for it.",""
"30",30,"ca07d20f","control","against","",80,80,5,5,6,4,5,5,5,6,6,3,4,6,5,6,2,2,6,2,"One easy argument is that the basic income of some americans would be at the expense of others. Another is that something not positive happens when you say that someone who is working at a fast food restaurant making sandwiches deserves a salary similar to someone working for many years in a field where the pay isn't great (non-profit, education, etc).",3,"9d3c4afb",1,"One easy argument is that the basic income of some Americans would be at the expense of others. Another is that something not positive happens when you say that someone who is working at a fast food restaurant making sandwiches deserves a salary similar to someone working for many years in a field where the pay isn't great (non-profit, education, etc).",""
"31",31,"a1620643","control","against","",100,100,7,7,7,5,7,5,4,6,7,1,2,4,5,5,1,1,6,1,"that it will slow the economy by making people too lazy to work. If poor don't have the motivation of struggling financially, they will decide to sit at home and play video games. On a large scale, this would be awful for our economy.",3,"74e624cb",1,"that it will slow the economy by making people too lazy to work. If poor don't have the motivation of struggling financially, they will decide to sit at home and play video games. On a large scale, this would be awful for our economy.",""
"32",32,"f45beb8","same party argument","against","liberal",80,83,6,6,6,6,6,5,5,6,6,1,2,4,6,6,1,3,7,1,"A liberal may argue against a UBI due to increased taxes (carbon and income), as well as the removal of current programs that work, including food stamps and possibly other welfare. A liberal may think these welfare programs work and do not need to be removed in favor of a UBI. ",3,"c598632d",781,"A liberal may argue against a UBI due to increased taxes (carbon and income), as well as the removal of current programs that work, including food stamps and possibly other welfare. A liberal may think these welfare programs work and do not need to be removed in favor of a UBI. ",""
"33",33,"4fbf896a","same party argument","in favor of","liberal",43,58,5,5,5,4,5,5,6,5,6,2,5,5,5,5,2,1,2,3,"one possible argument is that it would eliminate a lot of problems in our society today like poverty, food stamps, and homelessness. This would benefit the American society and help many people back on their feet",3,"be7c2a30",8,"one possible argument is that it would eliminate a lot of problems in our society today like poverty, food stamps, and homelessness. This would benefit the American society and help many people back on their feet",""
"34",34,"421b44fd","control","against","",100,100,7,7,7,3,6,4,2,4,5,2,3,4,3,6,2,1,1,3,"It would be bad for people's motivation. They would get money without having to do any work at all. ",3,"36c0d743",1,"It would be bad for people's motivation. They would get money without having to do any work at all. ",""
"35",35,"f158e2f6","control","against","",76,94,1,1,1,6,6,7,7,7,7,7,7,7,7,6,1,2,6,6,"There should be a UBI so we wouldnt have homeless people all over the place causing issues with arresting, treating them in hospitals due to elements, etc. Also It would improve tourism which would in the end actually pay for itself.",3,"7a4c6872",1,"There should be a UBI so we wouldnt have homeless people all over the place causing issues with arresting, treating them in hospitals due to elements, etc. Also It would improve tourism which would in the end actually pay for itself.","Y"
"36",36,"50a5aa15","control","in favor of","",26,72,1,1,1,6,5,6,6,7,1,6,5,5,6,5,1,5,6,6,"Citizens would be freed from worry about meeting bills and expenses while they build a business or career.  Often, people are stuck in unsatisfying work just to meet their expenses. If this program were to be planned correctly, it could ultimately boost our economy as well as very creative entrepreneurship.",3,"c6e8121f",1,"Citizens would be freed from worry about meeting bills and expenses while they build a business or career.  Often, people are stuck in unsatisfying work just to meet their expenses. If this program were to be planned correctly, it could ultimately boost our economy as well as very creative entrepreneurship.",""
"37",37,"26fc562a","control","against","",100,100,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,2,6,1,"The argument would be it wouldn't be fair. The rich of the rich wouldn't accept this because they would feel that they worked hard and others didnt",4,"b39ec0a1",1,"The argument would be it wouldn't be fair. The rich of the rich wouldn't accept this because they would feel that they worked hard and others didnt",""
"38",38,"fd9cf56d","same party argument","in favor of","liberal",25,25,4,4,4,2,5,5,5,3,7,3,3,4,4,4,2,1,6,2,"I believe that some liberals believe in a much more even playing field, and income is a major facet of what differentiates people from others. Leveling the income would ideally decrease class struggle, as everyone would be in the same class. ",2,"570c6146",910,"I believe that some liberals believe in a much more even playing field, and income is a major facet of what differentiates people from others. Leveling the income would ideally decrease class struggle, as everyone would be in the same class. ",""
"39",39,"aee0c0d8","opposing party argument","against","conservative",60,63,7,7,7,3,7,5,5,6,5,3,3,5,5,6,2,2,6,1,"Not wanting to pay higher taxes. It would make taxes higher by having to give everyone the basic income. It would also divert tax dollars away from the military.",3,"a4f0333e",122,"Not wanting to pay higher taxes. It would make taxes higher by having to give everyone the basic income. It would also divert tax dollars away from the military.",""
"40",40,"62adc8f4","opposing party argument","against","conservative",100,100,4,4,6,5,7,5,3,6,7,2,5,5,5,5,2,2,6,1,"I think they might think that it might disincentives people from working. / Also maybe bring up the costs of things, because the demand for products would be higher.",2,"4e81a74e",269,"I think they might think that it might disincentives people from working. / Also maybe bring up the costs of things, because the demand for products would be higher.",""
"41",41,"b7c8eae9","opposing party argument","in favor of","liberal",26,28,6,5,4,5,3,2,1,5,2,5,2,2,2,1,1,2,6,5,"If everyone was given money for basic surviving then there would be less likelihood that children are hungry. This would open up the ability for people to attend college and put their earned money elsewhere besides day to day struggles. Decreasing military spending would take away from the programs they have similar for military members and allow citizens to have these privliedges. ",3,"ab5409d5",12,"If everyone was given money for basic surviving then there would be less likelihood that children are hungry. This would open up the ability for people to attend college and put their earned money elsewhere besides day to day struggles. Decreasing military spending would take away from the programs they have similar for military members and allow citizens to have these privliedges. ",""
"42",42,"93da09a4","same party argument","in favor of","liberal",50,52,5,5,5,4,4,7,6,7,4,5,5,6,4,4,2,3,6,3,"Everyone should be able to afford basic things. The way the system is now, you can work hard, but barely scrape by. A UBI would give poor individuals security. ",3,"61877e00",697,"Everyone should be able to afford basic things. The way the system is now, you can work hard, but barely scrape by. A UBI would give poor individuals security. ",""
"43",43,"34aae347","same party argument","against","liberal",100,100,2,1,1,6,4,5,5,5,5,2,5,5,4,4,1,1,6,2,"that in order to fund a ubi, we would have to cut from programs like food stamps. Not all areas of our country have the same living wage and a ubi might not be enough to support a family in all parts of the country. Programs like SNAP could still be necessary for survival for some families. ",3,"8ace8868",387,"that in order to fund a ubi, we would have to cut from programs like food stamps. Not all areas of our country have the same living wage and a UBI might not be enough to support a family in all parts of the country. Programs like SNAP could still be necessary for survival for some families. ",""
"44",44,"e0f8eb9d","same party argument","against","liberal",73,82,3,3,3,5,5,3,3,5,7,1,3,3,3,3,1,1,6,2,"Why should people who do no work get the same amount of money as people who do a lot of work? It will create less business competition.",3,"d3bf5c9e",571,"Why should people who do no work get the same amount of money as people who do a lot of work? It will create less business competition.",""
"45",45,"f0600e79","opposing party argument","against","liberal",70,70,3,4,5,3,5,6,5,5,3,5,4,5,5,6,2,2,6,5,"That by giving this entitlement despite working status, it could make it where less people would be motivated to work for what they need. It could also increase the expenditure of the government by a massive amount. which depending on the mount of people that sign up under it, the financials of the government to be impossible to maintain.",3,"590c08b9",382,"That by giving this entitlement despite working status, it could make it where less people would be motivated to work for what they need. It could also increase the expenditure of the government by a massive amount. which depending on the mount of people that sign up under it, the financials of the government to be impossible to maintain.",""
"46",46,"1c242112","control","against","",74,76,3,3,5,5,6,2,6,6,6,6,5,6,6,6,1,3,6,5,"The taxes collected from carbon, income, and decreasing military may not be enough to cover the costs. Also, how do we know the difference between someone being lazy or someone truly disadvantage through lack of employment and education? ",3,"1480028a",1,"The taxes collected from carbon, income, and decreasing military may not be enough to cover the costs. Also, how do we know the difference between someone being lazy or someone truly disadvantage through lack of employment and education? ",""
"47",47,"21f975a3","same party argument","in favor of","conservative",34,27,1,2,3,6,2,1,1,4,2,6,1,1,1,1,1,3,6,7,"Everyone, regardless of their circumstances, would have more of an equal opportunity to gain income. Also, we would be helping more people in need.",3,"195a3f01",777,"Everyone, regardless of their circumstances, would have more of an equal opportunity to gain income. Also, we would be helping more people in need.",""
"48",48,"d5f5aaf5","control","against","",100,100,5,5,5,7,6,7,7,7,6,2,7,5,4,4,1,2,6,5,"The main argument is that people will not seek employment for themselves.  People may lose the idea of seeking goals to better themselves through employment possibilities.    People might lose motivation.",3,"eaa66d79",1,"The main argument is that people will not seek employment for themselves.  People may lose the idea of seeking goals to better themselves through employment possibilities.    People might lose motivation.",""
"49",49,"ff5d3be","control","in favor of","",0,0,6,6,6,1,5,6,7,7,3,5,2,1,1,1,2,2,6,5,"It is hard to think of an argument for UBI. I would have to say it may decrease homelessness, although it would not eliminate it, as people are still free to spend the money as they choose. It might also be good to not have to worry about where your next paycheck is coming from if you lose your job. ",3,"230ba8ce",1,"It is hard to think of an argument for UBI. I would have to say it may decrease homelessness, although it would not eliminate it, as people are still free to spend the money as they choose. It might also be good to not have to worry about where your next paycheck is coming from if you lose your job. ",""
"50",50,"a680b807","control","against","",60,59,4,4,4,4,5,7,7,7,2,6,5,5,5,5,2,2,7,6,"It will increase taxes significantly. This will result in earners having to pay for universal wages for others who don't contribute.",3,"aa5a7f87",1,"It will increase taxes significantly. This will result in earners having to pay for universal wages for others who don't contribute.",""
"51",51,"62f5fe77","control","in favor of","",30,30,6,6,5,2,2,4,5,5,3,5,3,5,2,3,2,2,6,6,"It would allow everyone in the country to at least have the means to have a place to stay and a meal to eat. It would set a standard for the country to live by. It may seem like the country is more humane.",3,"760ad1f7",1,"It would allow everyone in the country to at least have the means to have a place to stay and a meal to eat. It would set a standard for the country to live by. It may seem like the country is more humane.",""
"52",52,"26f39062","same party argument","against","liberal",73,83,5,5,4,4,5,6,6,6,6,2,4,4,3,3,1,4,6,2,"It could deter people from trying harder.  It might make people complacent and unambitious.",3,"ead7c34d",508,"It could deter people from trying harder.  It might make people complacent and unambitious.",""
"53",53,"ba8bbab3","control","against","",82,80,1,1,1,3,2,3,2,2,6,1,1,2,2,2,2,2,6,2,"It is part of a socialist agenda. We don't like socialism here.",3,"a863c299",1,"It is part of a socialist agenda. We don't like socialism here.",""
"54",54,"9f49eef4","opposing party argument","in favor of","liberal",21,9,2,2,1,2,6,6,6,7,2,6,2,5,2,5,2,1,6,5,"A liberal-minded person would argue that UBI is beneficial because everyone would be able to have an income and be able to afford the cost of living without having to actually work for it. A liberal would also argue that the job market would be more flexible due to that fact that if someone doesn't like their job, they could just quit and obtain UBI to live on.",3,"bc0cee00",422,"A liberal-minded person would argue that UBI is beneficial because everyone would be able to have an income and be able to afford the cost of living without having to actually work for it. A liberal would also argue that the job market would be more flexible due to that fact that if someone doesn't like their job, they could just quit and obtain UBI to live on.",""
"55",55,"ed0bd6c1","control","against","",100,100,7,7,7,5,7,5,4,3,5,1,2,1,3,3,1,1,2,3,"it discourages people from working. Thus, it'll weaken the economy and lower competitiveness in the world.",3,"4bc805",1,"it discourages people from working. Thus, it'll weaken the economy and lower competitiveness in the world.",""
"56",56,"704b109f","opposing party argument","against","liberal",74,83,2,2,1,3,4,6,6,6,3,5,6,6,6,6,1,2,6,6,"It is not necessary to give any amount of money to people or families that make enough money to support themselves and their families. By giving money to every citizen regardless of income, it is giving more money to the rich that don't need it.  Money and assistance should only be given to the people that make below a certain amount to help them provide for their families.",3,"fc541ae8",319,"It is not necessary to give any amount of money to people or families that make enough money to support themselves and their families. By giving money to every citizen regardless of income, it is giving more money to the rich that don't need it.  Money and assistance should only be given to the people that make below a certain amount to help them provide for their families.",""
"57",57,"758fa5d7","same party argument","against","liberal",100,100,7,7,7,5,6,7,7,7,5,1,2,2,1,1,1,1,6,2,"This is something that has been tried in other countries before and has failed to materialize. It ends up in the government having too much power and resulting in an eventual dictatorship.",3,"35144067",149,"This is something that has been tried in other countries before and has failed to materialize. It ends up in the government having too much power and resulting in an eventual dictatorship.",""
"58",58,"65ff1bb6","control","against","",62,60,5,5,5,4,4,4,3,4,6,2,5,5,5,5,1,2,6,3,"Some people work harder so they should earn more money",3,"2c3d6079",1,"Some people work harder so they should earn more money",""
"59",59,"a7500f0d","opposing party argument","in favor of","liberal",0,0,7,7,7,1,1,7,7,7,1,7,1,1,1,1,2,4,6,7,"All people are created equal.  All men are entitled to certain rights.",3,"bee01b3c",773,"All people are created equal.  All men are entitled to certain rights.",""
"60",60,"d9d620a3","opposing party argument","in favor of","conservative",25,25,3,3,3,3,1,4,3,5,5,2,3,5,3,5,2,2,6,2,"It saves the government money by decreasing oversight, bureaucracy, and red tape of other programs, such as food stamps. It keeps the incentives of higher income by not placing a cap on income.",3,"2fd12047",84,"It saves the government money by decreasing oversight, bureaucracy, and red tape of other programs, such as food stamps. It keeps the incentives of higher income by not placing a cap on income.",""
"61",61,"3e04cb11","same party argument","against","liberal",100,100,3,2,4,7,7,7,6,6,5,1,7,7,5,5,1,3,6,1,"We cannot short change other programs for this system. It is important to help all citizens of this great country but lest not do away with programs that has worked effectively. Besides, we could possibly be helping people who don't want to help themselves and this is a major problem.",3,"d4a7efc",166,"We cannot short change other programs for this system. It is important to help all citizens of this great country but lest not do away with programs that has worked effectively. Besides, we could possibly be helping people who don't want to help themselves and this is a major problem.",""
"62",62,"a86d62d8","opposing party argument","against","liberal",78,83,6,7,6,5,6,6,7,6,6,7,6,7,6,7,2,4,6,5,"Different logical thoughts and feelings",1,"b3735f99",553,"Different logical thoughts and feelings","Y"
"63",63,"665e577b","same party argument","against","liberal",80,80,5,5,6,3,5,6,5,6,6,3,3,5,3,4,2,2,6,2,"This will cost the government a enormous amount of money that could be better spent on other programs. We should be helping save the environment instead of giving everyone more handouts. ",3,"eb3ae977",784,"This will cost the government a enormous amount of money that could be better spent on other programs. We should be helping save the environment instead of giving everyone more handouts. ",""
"64",64,"1c9b8a5c","opposing party argument","against","liberal",81,80,1,1,1,2,6,6,4,6,2,6,1,1,1,1,2,4,6,5,"Even with a UBI, there will be high income inequality and the gap between the rich and poor will continue to rise. People will continued to be disenfranchised when they are tempted to spend their UBI on nonproductive things.  The government needs total control on how these people spedn thei UBI. ",3,"878884ef",174,"Even with a UBI, there will be high income inequality and the gap between the rich and poor will continue to rise. People will continued to be disenfranchised when they are tempted to spend their UBI on nonproductive things.  The government needs total control on how these people spedn thei UBI. ",""
"65",65,"4a2ccce9","same party argument","against","liberal",100,100,6,6,6,7,6,7,7,7,5,1,2,2,2,1,1,5,6,2,"I imagine one argument against UBI would be that if it is given to every citizen then the rich will get one as well.  That means that the rich, who don't need the money, will be eligible to receive UBI and that could make the poor mad.",3,"d21b0f8a",830,"I imagine one argument against UBI would be that if it is given to every citizen then the rich will get one as well.  That means that the rich, who don't need the money, will be eligible to receive UBI and that could make the poor mad.",""
"66",66,"b3d32ee3","control","against","",75,77,5,5,4,2,3,5,4,5,4,2,4,5,4,5,2,1,6,3,"that people will become lazy. As more people switch to simply living off a basic income, productivity of the nation will decrease. ",3,"224264e2",1,"that people will become lazy. As more people switch to simply living off a basic income, productivity of the nation will decrease. ",""
"67",67,"ec64ca85","control","in favor of","",10,4,2,2,1,1,3,4,5,5,2,6,5,6,2,2,1,5,6,7,"It would be a way to treat everybody fair in one way.  It would keep everybody from being homeless or starving.",3,"176c42b4",1,"It would be a way to treat everybody fair in one way.  It would keep everybody from being homeless or starving.",""
"68",68,"66519133","opposing party argument","against","conservative",100,100,7,7,7,3,5,1,3,3,6,1,1,2,2,2,2,2,6,1,"This would cost a lot of money and give money to people who do not need it and are lazy",3,"3a6bf1fe",505,"This would cost a lot of money and give money to people who do not need it and are lazy",""
"69",69,"719ba795","opposing party argument","against","conservative",100,100,2,3,4,5,6,5,7,6,7,2,5,6,5,6,2,2,1,2,"Universal income will make people more lazy and hence they will refuse to go to work . This will lead to decrease in productivity and increase in crime. People should work hard for their income and stop depending on the government to help us.",3,"7474d697",564,"Universal income will make people more lazy and hence they will refuse to go to work . This will lead to decrease in productivity and increase in crime. People should work hard for their income and stop depending on the government to help us.",""
"70",70,"8f893d93","control","in favor of","",0,0,5,6,6,4,1,5,5,5,3,5,4,4,1,1,1,5,6,5,"...that it will substantially force a tightening of the remaining U.S. budget. That big of a plan will force legislatures to cut most current unnecessary expenditures.This new policy seeks to eliminate poverty. ",4,"57a64400",1,"...that it will substantially force a tightening of the remaining U.S. budget. That big of a plan will force legislatures to cut most current unnecessary expenditures.This new policy seeks to eliminate poverty. ",""
