ID,study.F,cond,cond.F,att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,resp2,resp3,resp4,resp5,resp6,essMoral,essPrac,poli_soc,poli_econ,age,gender,d_gen_4_TEXT,language,d_lang_10_TEXT,Th1VA,Th2VA,Th3VA,Th4VA,Th5VA,Th6VA,Th1VB,Th2VB,Th3VB,Th4VB,Th5VB,Th6VB,duplicatedIP
R_2fezKFDZljwBmWY,Study 1A,1,Practical Message,3,2,2,3,3,2,3,2,3,2,2,this person seems to know what they are talking about,this person only considers the short term,i thought about the infrastructure this person is talking about,NA,NA,NA,3,5,4,4,27,Male,NA,English,NA,1,3,3,NA,NA,NA,1,2,3,NA,NA,NA,FALSE
R_31a9rxfnkqnej3C,Study 1A,-1,Moral Message,4,4,4,3,5,1,5,1,4,4,4,Where is the data,Compared to the benefits its worth it,Who gave this man a degree.,NA,NA,NA,6,3,4,4,33,Male,NA,English,NA,3,3,2,NA,NA,NA,3,2,2,NA,NA,NA,FALSE
R_3m1QGCGyyZgGyTr,Study 1A,1,Practical Message,-3,1,4,1,2,2,5,1,-1,-2,2,Recycling  may not be cost effective,NA,NA,NA,NA,NA,3,2,3,4,28,Female,NA,English,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,TRUE
R_3CC3vgMMazV2VOD,Study 1A,1,Practical Message,3,3,3,3,3,1,3,1,1,1,1,it may cost more but is it really that BAD for the enviornment,the cost of recycle might be worth the good side effects,no other,no other,no other,no other,3,6,3,4,33,Female,NA,English,NA,3,3,4,4,4,4,3,2,4,4,4,4,FALSE
R_bJjgjkg4txOVmHn,Study 1A,1,Practical Message,3,3,3,4,3,3,4,2,2,2,2,The article only focused on the negative.,The article did not address the fact that landfills are eventually going to fill up.,I would like to see the numbers and the math that supports and undermines the claims.,NA,NA,NA,2,5,2,3,40,Male,NA,English,NA,3,3,3,NA,NA,NA,3,1,2,NA,NA,NA,FALSE
R_10P1A72iQ56VQT8,Study 1A,1,Practical Message,4,4,4,5,5,1,3,5,4,4,4,still worth it to protect environment,more costly true,NA,NA,NA,NA,1,7,4,3,38,Female,NA,English,NA,2,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,FALSE
R_2EtJuoTwB9ytQAg,Study 1A,-1,Moral Message,4,4,3,4,5,2,4,5,3,4,3,"Some of it was pretty dumb, since 400 more trucks is actually negligible in terms of city traffic","I do think there's environmental impact, but that has to weigh against benefits",He's ignoring all the negative effects of putting stuff in landfills instead,"Yeah, we should revamp recycling a bit to make it cleaner",I thought the best arguments was more that we use more resources recycling thatn not,Emotional appeal is weak,5,3,1,1,32,Female,NA,English,NA,2,3,2,1,3,4,2,1,2,2,1,2,FALSE
R_xFRZxo4ZQGntKs9,Study 1A,1,Practical Message,4,4,4,3,3,2,5,4,-2,-2,-2,"I tended to agree with the essay, money should be  spent towards other things, for example homeless programs!",Recycling is wasting our money-it's a government propaganda!,Recycling pollutes our natural resources and wastes precious time,recycled products are inferior,recycling is a hype!,True facts about recycling need to be made known to public!,4,7,5,5,36,Female,NA,English,NA,1,1,1,3,1,3,1,1,1,1,1,1,FALSE
R_UxzHKrsXwZcDOFP,Study 1A,1,Practical Message,4,4,4,2,4,3,2,1,0,-1,-1,I did not know recycling was so expensive,I wonder if there are ways to make recycling more efficient and bring the cost down,I wondered if the article was true or biased at all,NA,NA,NA,3,6,1,1,24,Female,NA,English,NA,3,3,3,NA,NA,NA,3,3,3,NA,NA,NA,FALSE
R_3M9IU04x71577pP,Study 1A,1,Practical Message,4,4,4,3,5,3,3,2,2,3,1,Wow! It never occured to me how much money is required for recycling programs.,Maybe recycling isn't as beneficial as I thought.,Maybe this money in these programs could be better used in other ways.,NA,NA,NA,4,6,1,2,27,Female,NA,English,NA,3,1,1,NA,NA,NA,3,3,3,NA,NA,NA,FALSE
R_2dyjWwBWtCKdvOC,Study 1A,-1,Moral Message,3,3,3,4,3,2,3,3,1,1,1,Humanity is screwed,They have some valid points,This is a tricky situation,This could be a huge problem,I'm hungry,NA,5,5,3,3,46,Female,NA,English,NA,4,1,3,3,4,NA,2,1,3,3,4,NA,FALSE
R_2WOSfdn3pma0KSp,Study 1A,1,Practical Message,3,3,3,4,4,3,4,4,3,3,3,I think that I do  not agree with the argument of against recycling.  It is not a costly thing.  It cost more to environment when we think about it if we don't recycle.,NA,NA,NA,NA,NA,3,4,4,4,56,Female,NA,English,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,FALSE
R_O0Qda6rppLIxVZf,Study 1A,1,Practical Message,4,4,4,5,5,5,5,2,3,3,3,Who thinks money is more important than maintaining the environment?,Recycling has more benefits than harms.,NA,NA,NA,NA,2,6,2,2,20,Female,NA,English,NA,3,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,FALSE
R_21zFFNnPKlI6OzW,Study 1A,1,Practical Message,4,4,4,3,5,4,4,2,2,2,3,I was thinking that this article is very contradictory to my beliefs about recycling.,I thought about how the trucks used in recycling do take up a lot of space and add to congestion problems on the roads.,I thought about how must have some benefits that counteract the negatives.,NA,NA,NA,3,7,4,4,27,Female,NA,English,NA,2,3,3,NA,NA,NA,2,1,2,NA,NA,NA,FALSE
R_31iPgZBYKtfttds,Study 1A,1,Practical Message,2,3,3,4,3,2,4,3,1,1,1,Recycling is expensive,Costs money for the government and economy,Money spent on recycling can be used for other programs,A lot of money is used to purify the water and air when recycling,NA,NA,3,6,2,2,27,Male,NA,Other,Vietnamese,3,3,1,3,NA,NA,1,1,1,3,NA,NA,FALSE
R_3snMp8nGAyH8P6t,Study 1A,1,Practical Message,1,-1,0,4,4,3,3,4,2,-1,0,I thought about life and the harm you could do when you don't recycle.,I thought about what we could do to solve that issue.,Also about what would happen if we don't,NA,NA,NA,5,5,3,4,22,Male,NA,English,NA,2,3,3,NA,NA,NA,2,3,3,NA,NA,NA,FALSE
R_719YtbcYu6XraU1,Study 1A,-1,Moral Message,4,4,4,3,4,1,4,2,4,4,4,"Focuses heavily on info that average users can relate to, who doesn't love pets??",Written with language to make it sound like a tragedy.,"Only talks about the negative aspects that recycling has on pets and wildlife, doesn't talk at all about the positives that come from recycling.",I feel like this is written by someone who is purposefully hiding something.,I can't take this argument seriously because of how ignorant this person sounds.,NA,1,1,2,4,23,Male,NA,English,NA,3,4,3,2,2,NA,3,3,2,2,2,NA,FALSE
R_1cTFJemCx8HewmV,Study 1A,-1,Moral Message,4,4,4,5,4,1,5,3,4,4,4,"Interesting arguments, made me look at recycling from a different perspective",Argument about animals being killed as roadkill by recycling trucks is not very convincing because there are so many other vehicles on the roads today,No recycling programs would mean more trash in landfills which in turn would also harm the atmosphere and add to pollution,NA,NA,NA,7,1,3,3,36,Male,NA,English,NA,3,2,2,NA,NA,NA,3,2,2,NA,NA,NA,FALSE
R_2cBnnlJtz9VNbHO,Study 1A,-1,Moral Message,4,4,4,5,5,1,5,4,4,4,4,I sincerely doubt 18% more pets are being killed each year because of recycling trucks. There would need to be a mass pet-wide conspiracy for that to happen.,Maybe don't use statistics from PETA. They're not a particularly trustworthy or objective organization.,NA,NA,NA,NA,7,2,1,2,25,Female,NA,English,NA,2,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,FALSE
R_1i9hGHmZS9p2ix0,Study 1A,-1,Moral Message,4,4,4,5,4,2,4,1,-2,-2,-2,I never really thought about how much the extra trucks due to recycling could cause a problem with pollution,"It always breaks my heart to read anything about where an animal gets run over, I feel in part the driver could look out where they are going but I understand sometimes it is unavoidable","Maybe I should rethink recycling, or they can make it a different way where it's not just right out on the curb.",NA,NA,NA,7,7,4,4,21,Female,NA,English,NA,3,4,3,NA,NA,NA,1,3,1,NA,NA,NA,FALSE
R_33EgIzWmToL5ar1,Study 1A,-1,Moral Message,4,4,4,4,4,1,4,3,4,4,4,"I thought that most of his arguments were pretty ridiculous, but a few of them made sense.",I found the plant life and nearby animal life was a good argument.  I don't doubt that plants and animals nearby may suffer from the fumes created in recycling.,The fact that 18 percent more pets get run over due to recycling is a ludicrous claim.  How can someone prove that they wouldn't have been run over by a different vehicle?  It just so happens they go ran over by a recycling truck and that is purely just coincidence.,"To say that recycling is immoral because of these concerns is kind of decreasing the effectiveness of a morality barometer.   I just don't feel it's an issue of right and wrong.  However, if I did - I would imagine that recycling helps more than it hurts.","To say that the increase in recycling trucks in LA has caused a lot of pollution isn't a very good argument, because who's to say that the pollution caused by the trucks is worse than the impact on not recycling is to our environment?",The essay was written by a professor of economics.  A professor of economics doesn't really have the credentials to be a main say in recycling morality.,7,6,2,2,30,Male,NA,English,NA,3,1,3,2,2,2,2,1,2,2,3,2,FALSE
R_1KuQ1ZBm6o1hukR,Study 1A,-1,Moral Message,4,4,4,4,4,1,4,2,4,4,4,"Just because more pollution is caused by having more trucks does not mean that recycling is directly bad, it mean that we have to find different ways of powering our trucks.",again the issue of trucks running over animals is an issue of the safety of the drivers and pet owners rather than an issue of recycling.,"the only idea presented that is directly connected to recycling is the one on recycling plants, however we should also look at alternative sources of energy for our recycling plants.",The argument is very one sided and does not explore the other side thus the conclusion is clearly biased.,NA,NA,5,2,1,2,32,Male,NA,English,NA,2,2,3,2,NA,NA,2,2,3,2,NA,NA,FALSE
R_20VfQd1KKQc5LIS,Study 1A,1,Practical Message,4,4,4,5,4,2,5,2,2,2,2,I never really thought of how the recycling plants themselves are poluting,I was thinking about how recycling can be as dirty as the materials their recycling themselves.,NA,NA,NA,NA,6,6,2,2,31,Male,NA,English,NA,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,FALSE
R_1Rr0xsjZaUSuM4F,Study 1A,-1,Moral Message,4,4,4,4,5,2,4,1,0,0,0,Wow,I never thought about that,More trucks more toxins,That makes sense,Toxins released in the air killing animals,I never thought about the damage recycling may be doing,5,4,2,4,63,Female,NA,English,NA,4,3,1,1,3,3,3,3,1,1,3,1,FALSE
R_1H81AtvqUyQebQo,Study 1A,1,Practical Message,4,4,4,4,4,1,3,1,-3,-3,-3,Amazing,makes sense to me,sounds logical,good intentions aren't enough,the solution is worse then the problem,thanks for the survey. this was interesting,2,7,4,4,64,Male,NA,English,NA,4,3,1,3,1,4,3,1,1,3,1,4,FALSE
R_BxeehApt3HkMgPn,Study 1A,1,Practical Message,2,2,2,3,3,3,3,3,1,2,2,I THINK RECYLCLING IS A GOOD THING,ITS NOT VERY VIABLE INFO IN THE ARTICLE,MISS INFORMATION,I THINK RECYCLING OUTWEIGHS THE BAD ASPECTS,NA,NA,4,4,3,2,30,Male,NA,English,NA,2,2,2,2,4,4,2,2,2,2,4,4,FALSE
R_3PNQfr1c4o1tixn,Study 1A,1,Practical Message,3,3,3,1,1,1,1,1,-4,-4,-4,The taxpayers are paying for all that waste.,If it isn't cost effective why are we being pushed to do it??,The tax payers always end up on the short end when the government wants to try something,NA,NA,NA,7,7,5,5,49,Female,NA,English,NA,3,3,4,NA,NA,NA,3,1,3,NA,NA,NA,FALSE
R_28YBu3cUewlIolr,Study 1A,1,Practical Message,4,4,4,5,5,4,5,4,4,4,4,Landfills are proven to be more harmful to the environment than recycling plants.,I do not agree with this person's stance on recycling.,Many people would not recycle at all if curbside pick up was not available to them.,NA,NA,NA,4,5,1,1,24,Female,NA,English,NA,3,2,3,NA,NA,NA,1,2,3,NA,NA,NA,FALSE
R_1CqeMUGLA4bbS56,Study 1A,1,Practical Message,4,4,4,3,4,3,5,3,4,4,4,he makes good arguments,the benefit out weights the risks,more good than bad,less waste,NA,NA,3,4,4,4,33,Female,NA,English,NA,1,3,3,3,NA,NA,1,2,2,3,NA,NA,FALSE
R_2woDWaispFbQtup,Study 1A,1,Practical Message,4,4,4,5,5,2,4,5,3,3,1,Could be using the recycle money to invest in greener energy,Recycling saves on natural resources,using separate trash trucks makes no sense. People should go the the center or have a special pickup trash day for the recyles,NA,NA,NA,2,7,2,4,59,Male,NA,English,NA,3,2,3,NA,NA,NA,1,2,3,NA,NA,NA,FALSE
R_1jvTtxZXrzJgfLi,Study 1A,1,Practical Message,4,4,4,4,4,3,3,3,0,0,0,Convincing arguments,Would like to research points presented,I never heard many of these things,NA,NA,NA,5,7,3,1,67,Male,NA,English,NA,1,3,3,NA,NA,NA,1,3,3,NA,NA,NA,FALSE
R_3g7d2IwrIxYNiOl,Study 1A,-1,Moral Message,4,4,4,5,4,1,4,5,4,4,4,Puppies and kitties are the only moral value in the world,"wow, are you high?","PETA,jeez",take the 400 truck off the road and LA is a Paradise again,Just like before the white man when only puppies and kitties lived here,This like talking to a Trump supporter.,7,1,1,2,60,Male,NA,English,NA,4,4,3,4,4,4,4,2,2,1,4,4,FALSE
R_1ie1SvyLYrdw05J,Study 1A,1,Practical Message,4,4,4,4,4,4,3,2,2,2,2,I never thought of how much more expensive it is recycling.,I didn't realize that recycling caused so much toxic waste and pollutants to be released in the environment.,I always thought of recycling as something positive for the environment.,This article makes it seem like recycling is pointless because it does more harm than good.,NA,NA,4,7,1,1,29,Female,NA,English,NA,3,3,2,3,NA,NA,3,1,2,1,NA,NA,FALSE
R_3p8X7OTU432V8TQ,Study 1A,1,Practical Message,1,2,2,4,4,3,3,2,1,1,1,I didn't know how costly recycling could actually be,"However, I still think in the long run it will help our economy",It probably has other benefits that would make the cost worth it,I'm not sure if the cost is ACTUALLY worth it or not though,NA,NA,3,6,4,2,26,Male,NA,English,NA,3,2,3,3,NA,NA,3,2,2,3,NA,NA,FALSE
R_bloALE0XWI1o0et,Study 1A,1,Practical Message,4,4,4,2,4,4,4,1,0,1,4,Interesting.,I never looked at recycling from that perspective before.,Some truth.,Thought provoking,NA,NA,7,7,4,4,37,Female,NA,English,NA,4,3,1,3,NA,NA,3,3,1,3,NA,NA,FALSE
R_1KrjYwdcDYaeUYF,Study 1A,-1,Moral Message,4,4,4,5,5,1,5,3,-4,-4,-4,I honestly agree with his views,May be another thing that the actual recycling process is causing more issues with greenhouse gases.,Not to mention the extra trucks running the roads to collect all of the recyclables.,makes sense of how it would affect the animals and plant life of the surrounding areas.,With that in mind what is this doing to our health in the long run as well.,NA,7,7,3,3,34,Male,NA,English,NA,1,3,3,1,4,NA,1,1,3,1,1,NA,FALSE
R_2w05imRPESnKoeG,Study 1A,-1,Moral Message,4,4,4,5,4,4,3,4,3,3,3,i think that owners should have their dogs on leashes or be in the yard with them to supervise,make sure there's a fence or shock collar to teach them from running into the road,"it is possible, my dog never runs off",NA,NA,NA,5,5,4,4,23,Female,NA,English,NA,4,4,4,NA,NA,NA,3,3,3,NA,NA,NA,FALSE
R_3HuV2OmayTqHv68,Study 1A,-1,Moral Message,3,3,3,4,4,3,4,4,0,0,0,You always hear the good but never the bad!,I've never though about the issues that recycling may cause in the long run.,I need to do more research on this issue.,"I am concerned that I may have been led astray by the societal thinking ""recycling is best"".",NA,NA,7,5,4,4,24,Female,NA,English,NA,4,3,3,1,NA,NA,3,1,3,1,NA,NA,FALSE
R_1jjRn2vek8W1FZM,Study 1A,-1,Moral Message,4,4,4,4,4,3,4,3,4,4,4,I disagreed with the article and its facts.,I dont believe that more pets are killed on roads due to more trucks.,"If we arent recycling we are making more newer products to meet demand, so thats a wash.","Dont believe the full extent of the extra pollution, and many trucks now run on renewable fuels.",NA,NA,7,2,3,3,55,Male,NA,English,NA,2,2,3,3,NA,NA,2,2,3,2,NA,NA,FALSE
R_3nrvlK7yhAJJ2Kg,Study 1A,1,Practical Message,4,4,4,5,3,2,5,3,4,4,4,I can't imagine the cost is actually as high as the article claims,"Even if it's expensive, this is something that we simply NEED to do from a maintenance perspective.  We can't shirk responsibilities just because of cost.",NA,NA,NA,NA,1,7,2,3,31,Male,NA,English,NA,3,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,FALSE
R_1mK2XpJ61WmLCqR,Study 1A,-1,Moral Message,4,4,4,4,5,2,4,4,-4,-4,-4,depressing,bloviating,where are the citations,NA,NA,NA,7,7,1,1,53,Female,NA,English,NA,4,4,3,NA,NA,NA,2,4,2,NA,NA,NA,FALSE
R_yDgnYD6fYDZ4AuJ,Study 1A,1,Practical Message,2,0,3,3,3,2,2,3,1,0,0,"I was surprised at the information but after reading it, it does make sense",It's a shame that recycling costs and effects are so detrimental as recycling in and of itself is a good concept,There needs to be better ways to manage recycling so that it is cost effective and so it doesn't do harm the environment,NA,NA,NA,2,7,4,4,49,Female,NA,English,NA,1,3,3,NA,NA,NA,1,3,1,NA,NA,NA,FALSE
R_2wismp8QJmT9QHn,Study 1A,1,Practical Message,1,0,1,4,3,2,2,4,2,2,2,It was very informative.,He talked about the using the money it costs for recycling to be used for other projects which I disagree with.,Recycling is important and needs to be done.,NA,NA,NA,5,5,3,3,26,Female,NA,English,NA,3,2,2,NA,NA,NA,3,2,2,NA,NA,NA,FALSE
R_3oZ1QwI7tKvSH5x,Study 1A,1,Practical Message,4,4,4,4,5,1,2,3,1,1,1,I didn't know recycling was so expensive.,Dumps probably do more damage in the long run.,Have to do something to recycle waste.,NA,NA,NA,1,7,4,2,33,Male,NA,English,NA,3,3,3,NA,NA,NA,3,2,2,NA,NA,NA,FALSE
R_Xn8E4XngYgqaMhz,Study 1A,-1,Moral Message,3,3,3,5,5,1,4,3,3,3,3,Where are these statistics located?,What about good recycling does like reducing carbon?,Only covers negative.,Only one point of view.,need more viewpoints to make a sound decision,NA,4,4,2,2,44,Female,NA,English,NA,3,3,3,3,3,NA,2,2,2,2,3,NA,FALSE
R_2WCsqTXYEm5io8c,Study 1A,-1,Moral Message,-1,-2,2,3,3,2,3,3,0,-1,2,Recycling is a good thing..,NA,NA,NA,NA,NA,1,1,4,3,25,Male,NA,English,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,FALSE
R_12Av0cMMMAY3TCI,Study 1A,1,Practical Message,4,4,4,3,5,1,5,1,3,4,3,"Is this a ""real"" report from a scientist or something fictional for the purposes of this study?",I did not realize so much water was used during the recycling process.,Are twice as many trucks REALLY needed for places with curbside recycling?,Landfills may not leak but it seems like eventually we will run out of space for them.,NA,NA,4,6,4,5,58,Male,NA,English,NA,3,3,3,3,NA,NA,3,3,3,2,NA,NA,FALSE
R_3qRe9t0PbSXqvLj,Study 1A,-1,Moral Message,2,2,2,3,5,1,4,1,2,2,2,The essay seriously needed some citations on some of those claims,"In addition, it failed to compare the possible harms recycling brings, if even true, to the benefits",The benefits may still outweigh the problems,"Problems in our current implementation of recycling are not problems inherent to the concept of recycling, anyway",NA,NA,4,4,1,1,23,Other,Genderless,English,NA,3,3,2,3,NA,NA,2,2,2,2,NA,NA,FALSE
R_3PiNzyEbRA4UPUT,Study 1A,1,Practical Message,3,3,3,4,4,2,3,3,2,2,2,The article sounds very biased.,"I do not know if all this information given in the article are actual facts, but I would be interested to know what, if any, actual negative things occur from the process of recycling. All the extra trucks and recycling centers probably cause a lot of extra pollution.",NA,NA,NA,NA,4,6,3,3,36,Male,NA,English,NA,2,3,NA,NA,NA,NA,2,3,NA,NA,NA,NA,FALSE
R_2EohAmtP5qzs3VK,Study 1A,-1,Moral Message,4,4,4,4,5,1,4,3,4,4,4,Paper recycling is not the problem it is the fumes. Filter out the fumes the factory is spewing into the atmosphere.,Replace toxic spewing trucks with trucks that run on cleaner energy.,Improve public transit to reduce the overall number of personal vehicles on the road. This makes room for the commercial vehicles.,NA,NA,NA,6,5,1,1,37,Male,NA,English,NA,2,3,3,NA,NA,NA,2,3,3,NA,NA,NA,FALSE
R_2q8ZGMhjHylL7GY,Study 1A,1,Practical Message,3,3,3,3,4,2,3,3,3,3,3,The only thought that I had while reading the essay was that there was no way that recycling doesn't do us good. The facts that were listed don't seem to change my opinion.,NA,NA,NA,NA,NA,3,5,4,4,57,Female,NA,English,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,FALSE
R_1mzvHzigOYcfG8x,Study 1A,-1,Moral Message,4,4,4,5,4,3,3,5,3,3,3,"I think, its a valid point made in the essay that pollution due to trucks picking up and dropping off recyclables does more harm than good.","Truck exhausts due contribute to air pollution, a problem that does affect a whole city.","Toxic fumes from recycling plants is harmful to nearby animals, plants and possibly humans working in these recycling plants.",NA,NA,NA,6,5,4,4,28,Male,NA,English,NA,1,3,3,NA,NA,NA,1,1,1,NA,NA,NA,FALSE
R_3oRy8jqQ7f6wJQ9,Study 1A,1,Practical Message,4,4,4,4,3,1,4,2,4,4,4,"Lots of processes are incredibly inefficient, but that doesn't mean it isn't worth trying",Eventually recycling processes will becoming more streamlined and efficient,The argument seems to only focus on the negative aspects with few considerations for the positive benefits of recycling,There is a greater societal cost to not recycling at all,NA,NA,1,7,2,2,30,Male,NA,English,NA,3,3,3,2,NA,NA,3,3,2,2,NA,NA,FALSE
