ID,Unstandardized_Variables,Anthropomorphism,TheoryofIntelligence,Interaction_ConxTOI,PerceivedCostofHelpSeeking,Total_NumberofCorrectAnswer,Gender,Age,Income,Education,Ethnicity,White,Hispanic,Black,NativeAmerican,Asian,Other,StandardizedVariables,ZAnthro,ZTOI,STD_Interaction_ConxTOI,ZCost,ZTotal_CAnswer,ZGender,ZAge,ZIncome,ZEducation,ZWhite,ZHispanic,ZBlack,ZNativeAmerican,ZAsian,ZOther,XXXXXRawDataXXXXX,CorrectQ1,CorrectQ2,CorrectQ3,CorrectQ4,CorrectQ5,CorrectQ6,CorrectQ7,CorrectQ8,CorrectQ9,CorrectQ10,CorrectQ11,CorrectQ12,CorrectQ13,CorrectQ14,CorrectQ15,CorrectQ16
10, ,0,1.625,0,1.666666667,14,0,28,3,3,1,1,0,0,0,0,0, ,-.992003527129922,-1.26191744908201,1.25182656043615,-.915482702365257,.927929140754398,-1.01345287212464,-.97789036525668,.434946652984274,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
11, ,1,6,6,6.5,10,1,46,3,3,1,1,0,0,0,0,0, ,1.00267023172272,2.10096923831285,2.10657931302144,3.28473954486189,-.4250747525873,.981449097215435,.60156211528746,.434946652984274,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1
12, ,1,6,6,6.166666667,14,1,43,3,3,1,1,0,0,0,0,0, ,1.00267023172272,2.10096923831285,2.10657931302144,2.99506904532281,.927929140754398,.981449097215435,.33832003519677,.434946652984274,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
13, ,1,3.375,3.375,3,7,0,55,2,2,1,1,0,0,0,0,0, ,1.00267023172272,.0832372258759312,.0834594885569762,.243199296660056,-1.43982767259357,-1.01345287212464,1.39128835555953,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0
14, ,0,1.625,0,4,0,1,26,4,3,5,0,0,0,0,1,0, ,-.992003527129922,-1.26191744908201,1.25182656043615,1.11221079614629,-3.80758448594155,.981449097215435,-1.15338508531714,1.20225820117351,.49042093811722,-2.07837275479366,-.249330654756028,-.23705495398748,-.0731272424127131,3.80858866164133,-.0731272424127131, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15, ,0,3.5,0,2.666666667,12,0,33,2,3,2,0,1,0,0,0,0, ,-.992003527129922,.179319702658641,-.177885777521261,-.0464712028790193,.251427194083549,-1.01345287212464,-.53915356510553,-.332364895204962,.49042093811722,-2.07837275479366,3.98929047609644,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1
16, ,1,3.125,3.125,1.833333333,5,0,40,1,3,1,1,0,0,0,0,0, ,1.00267023172272,-.108927727689489,-.109218589963449,-.770647453030225,-2.11632961926442,-1.01345287212464,.0750779551060801,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
17, ,1,3.125,3.125,2,10,0,44,1,2,3,0,0,1,0,0,0, ,1.00267023172272,-.108927727689489,-.109218589963449,-.625812202826182,-.4250747525873,-1.01345287212464,.426067395227,-1.0996764433942,-.965272957564054,-2.07837275479366,-.249330654756028,4.1958726855784,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1
18, ,0,1.75,0,3,7,0,37,3,2,1,1,0,0,0,0,0, ,-.992003527129922,-1.1658349722993,1.15651240457232,.243199296660056,-1.43982767259357,-1.01345287212464,-.18816412498461,.434946652984274,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0
19, ,1,5.625,5.625,3,12,1,30,4,3,1,1,0,0,0,0,0, ,1.00267023172272,1.81272180796471,1.81756219524081,.243199296660056,.251427194083549,.981449097215435,-.80239564519622,1.20225820117351,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1
20, ,0,3.625,0,2.666666667,8,0,23,1,2,1,1,0,0,0,0,0, ,-.992003527129922,.275402179441352,-.273199933385088,-.0464712028790193,-1.10157669925815,-1.01345287212464,-1.41662716540783,-1.0996764433942,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0
21, ,1,1,1,3,11,0,46,2,2,1,1,0,0,0,0,0, ,1.00267023172272,-1.74232983299556,-1.74698225738707,.243199296660056,-.0868237792518759,-1.01345287212464,.60156211528746,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1
22, ,1,4,4,1,12,1,58,1,3,1,1,0,0,0,0,0, ,1.00267023172272,.563649609789482,.56515468485804,-1.49482370231242,.251427194083549,.981449097215435,1.65453043565022,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
23, ,0,1,0,1,13,0,39,2,2,1,1,0,0,0,0,0, ,-.992003527129922,-1.74232983299556,1.72839733975529,-1.49482370231242,.589678167418974,-1.01345287212464,-.0126694049241499,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
24, ,0,5,0,1.5,12,1,42,2,3,1,1,0,0,0,0,0, ,-.992003527129922,1.33230942405116,-1.32165564788719,-1.0603179525693,.251427194083549,.981449097215435,.25057267516654,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
25, ,1,2.75,2.75,1,12,1,28,2,3,1,1,0,0,0,0,0, ,1.00267023172272,-.39717515803762,-.398235707744088,-1.49482370231242,.251427194083549,.981449097215435,-.97789036525668,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
26, ,0,1.75,0,2.833333333,14,1,35,1,3,1,1,0,0,0,0,0, ,-.992003527129922,-1.1658349722993,1.15651240457232,.0983640464560129,.927929140754398,.981449097215435,-.36365884504507,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
27, ,1,1,1,2.5,11,0,30,2,2,1,1,0,0,0,0,0, ,1.00267023172272,-1.74232983299556,-1.74698225738707,-.191306453083063,-.0868237792518759,-1.01345287212464,-.80239564519622,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1
28, ,1,2.875,2.875,3,12,1,29,2,3,1,1,0,0,0,0,0, ,1.00267023172272,-.30109268125491,-.301896668483875,.243199296660056,.251427194083549,.981449097215435,-.89014300522645,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0
29, ,0,1,0,1.666666667,16,0,33,2,2,2,0,1,0,0,0,0, ,-.992003527129922,-1.74232983299556,1.72839733975529,-.915482702365257,1.60443108742525,-1.01345287212464,-.53915356510553,-.332364895204962,-.965272957564054,-2.07837275479366,3.98929047609644,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30, ,1,3.5,3.5,2,6,0,35,2,2,3,0,0,1,0,0,0, ,1.00267023172272,.179319702658641,.179798527817189,-.625812202826182,-1.778078645929,-1.01345287212464,-.36365884504507,-.332364895204962,-.965272957564054,-2.07837275479366,-.249330654756028,4.1958726855784,-.0731272424127131,-.261160365369691,-.0731272424127131, ,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
31, ,1,3,3,2.166666667,14,0,36,1,3,3,0,0,1,0,0,0, ,1.00267023172272,-.205010204472199,-.205557629223662,-.480976952622138,.927929140754398,-1.01345287212464,-.27591148501484,-1.0996764433942,.49042093811722,-2.07837275479366,-.249330654756028,4.1958726855784,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
32, ,0,3.875,0,1.5,11,0,63,2,2,1,1,0,0,0,0,0, ,-.992003527129922,.467567133006772,-.463828245112743,-1.0603179525693,-.0868237792518759,-1.01345287212464,2.09326723580137,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
33, ,1,5,5,2,16,1,55,1,3,1,1,0,0,0,0,0, ,1.00267023172272,1.33230942405116,1.33586699893974,-.625812202826182,1.60443108742525,.981449097215435,1.39128835555953,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34, ,0,5,0,3,13,1,55,1,3,1,1,0,0,0,0,0, ,-.992003527129922,1.33230942405116,-1.32165564788719,.243199296660056,.589678167418974,.981449097215435,1.39128835555953,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
35, ,1,3,3,3,13,1,60,2,2,1,1,0,0,0,0,0, ,1.00267023172272,-.205010204472199,-.205557629223662,.243199296660056,.589678167418974,.981449097215435,1.83002515571068,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
36, ,0,3.125,0,2.5,2,1,25,1,2,1,1,0,0,0,0,0, ,-.992003527129922,-.108927727689489,.108056690070221,-.191306453083063,-3.1310825392707,.981449097215435,-1.24113244534737,-1.0996764433942,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
37, ,1,2,2,3.166666667,13,1,37,2,3,1,1,0,0,0,0,0, ,1.00267023172272,-.973670018733881,-.976269943305364,.3880345468641,.589678167418974,.981449097215435,-.18816412498461,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
38, ,0,5.75,0,1.333333333,13,0,25,2,4,1,1,0,0,0,0,0, ,-.992003527129922,1.90880428474742,-1.89354058307015,-1.20515320277334,.589678167418974,-1.01345287212464,-1.24113244534737,-.332364895204962,1.94611483379849,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
39, ,1,2.875,2.875,1.5,14,1,38,4,3,1,1,0,0,0,0,0, ,1.00267023172272,-.30109268125491,-.301896668483875,-1.0603179525693,.927929140754398,.981449097215435,-.10041676495438,1.20225820117351,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
40, ,1,5,5,2.666666667,12,1,38,2,3,1,1,0,0,0,0,0, ,1.00267023172272,1.33230942405116,1.33586699893974,-.0464712028790193,.251427194083549,.981449097215435,-.10041676495438,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1
41, ,0,1,0,2.5,14,1,39,2,2,1,1,0,0,0,0,0, ,-.992003527129922,-1.74232983299556,1.72839733975529,-.191306453083063,.927929140754398,.981449097215435,-.0126694049241499,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
42, ,1,2.375,2.375,2.5,12,1,33,2,2,1,1,0,0,0,0,0, ,1.00267023172272,-.68542258838575,-.687252825524726,-.191306453083063,.251427194083549,.981449097215435,-.53915356510553,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
43, ,0,5,0,1,14,0,31,4,3,1,1,0,0,0,0,0, ,-.992003527129922,1.33230942405116,-1.32165564788719,-1.49482370231242,.927929140754398,-1.01345287212464,-.71464828516599,1.20225820117351,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
44, ,1,4.5,4.5,2.333333333,13,0,39,1,3,1,1,0,0,0,0,0, ,1.00267023172272,.947979516920323,.950510841898891,-.336141703287106,.589678167418974,-1.01345287212464,-.0126694049241499,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
45, ,1,2.25,2.25,1,6,1,21,3,2,1,1,0,0,0,0,0, ,1.00267023172272,-.781505065168461,-.783591864784939,-1.49482370231242,-1.778078645929,.981449097215435,-1.59212188546829,.434946652984274,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
46, ,0,5.125,0,1.5,12,0,39,2,2,1,1,0,0,0,0,0, ,-.992003527129922,1.42839190083387,-1.41696980375102,-1.0603179525693,.251427194083549,-1.01345287212464,-.0126694049241499,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
47, ,1,3,3,1,7,0,30,1,3,1,1,0,0,0,0,0, ,1.00267023172272,-.205010204472199,-.205557629223662,-1.49482370231242,-1.43982767259357,-1.01345287212464,-.80239564519622,-1.0996764433942,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
48, ,0,4,0,2.833333333,15,1,44,5,2,1,1,0,0,0,0,0, ,-.992003527129922,.563649609789482,-.55914240097657,.0983640464560129,1.26618011408982,.981449097215435,.426067395227,1.96956974936275,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
49, ,1,3,3,3,11,0,36,2,2,1,1,0,0,0,0,0, ,1.00267023172272,-.205010204472199,-.205557629223662,.243199296660056,-.0868237792518759,-1.01345287212464,-.27591148501484,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1
50, ,0,2,0,2.5,14,1,30,2,2,1,1,0,0,0,0,0, ,-.992003527129922,-.973670018733881,.965884092844667,-.191306453083063,.927929140754398,.981449097215435,-.80239564519622,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
51, ,0,4.5,0,3.333333333,11,1,43,3,2,1,1,0,0,0,0,0, ,-.992003527129922,.947979516920323,-.94039902443188,.532869796199132,-.0868237792518759,.981449097215435,.33832003519677,.434946652984274,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1
52, ,0,3.125,0,2.833333333,10,1,45,3,3,1,1,0,0,0,0,0, ,-.992003527129922,-.108927727689489,.108056690070221,.0983640464560129,-.4250747525873,.981449097215435,.51381475525723,.434946652984274,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1
53, ,1,2.625,2.625,4,12,0,69,2,3,1,1,0,0,0,0,0, ,1.00267023172272,-.49325763482033,-.4945747470043,1.11221079614629,.251427194083549,-1.01345287212464,2.61975139598275,-.332364895204962,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
54, ,1,1,1,1.166666667,8,1,24,2,2,1,1,0,0,0,0,0, ,1.00267023172272,-1.74232983299556,-1.74698225738707,-1.34998845210838,-1.10157669925815,.981449097215435,-1.3288798053776,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
55, ,0,4,0,3,8,0,52,1,2,1,1,0,0,0,0,0, ,-.992003527129922,.563649609789482,-.55914240097657,.243199296660056,-1.10157669925815,-1.01345287212464,1.12804627546884,-1.0996764433942,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1
56, ,1,4.5,4.5,1.833333333,15,1,43,1,2,1,1,0,0,0,0,0, ,1.00267023172272,.947979516920323,.950510841898891,-.770647453030225,1.26618011408982,.981449097215435,.33832003519677,-1.0996764433942,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
57, ,0,3.75,0,1.833333333,4,1,38,3,3,5,0,0,0,0,1,0, ,-.992003527129922,.371484656224062,-.368514089248916,-.770647453030225,-2.45458059259985,.981449097215435,-.10041676495438,.434946652984274,.49042093811722,-2.07837275479366,-.249330654756028,-.23705495398748,-.0731272424127131,3.80858866164133,-.0731272424127131, ,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
58, ,0,2,0,5.166666667,11,1,55,2,2,1,1,0,0,0,0,0, ,-.992003527129922,-.973670018733881,.965884092844667,2.12605754583658,-.0868237792518759,.981449097215435,1.39128835555953,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1
59, ,0,4.125,0,2.5,13,1,72,3,2,1,1,0,0,0,0,0, ,-.992003527129922,.659732086572192,-.654456556840398,-.191306453083063,.589678167418974,.981449097215435,2.88299347607344,.434946652984274,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
60, ,0,2.625,0,1.5,8,0,69,4,5,1,1,0,0,0,0,0, ,-.992003527129922,-.49325763482033,.48931331352553,-1.0603179525693,-1.10157669925815,-1.01345287212464,2.61975139598275,1.20225820117351,3.40180872947977,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1
61, ,0,4.5,0,3.166666667,6,1,54,2,2,1,1,0,0,0,0,0, ,-.992003527129922,.947979516920323,-.94039902443188,.3880345468641,-1.778078645929,.981449097215435,1.3035409955293,-.332364895204962,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
62, ,1,4,4,3,16,1,45,1,2,1,1,0,0,0,0,0, ,1.00267023172272,.563649609789482,.56515468485804,.243199296660056,1.60443108742525,.981449097215435,.51381475525723,-1.0996764433942,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63, ,1,4.125,4.125,2.666666667,13,0,40,2,2,2,0,1,0,0,0,0, ,1.00267023172272,.659732086572192,.661493724118253,-.0464712028790193,.589678167418974,-1.01345287212464,.0750779551060801,-.332364895204962,-.965272957564054,-2.07837275479366,3.98929047609644,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
64, ,0,2.5,0,2.833333333,16,1,35,6,3,5,0,0,0,0,1,0, ,-.992003527129922,-.58934011160304,.584627469389358,.0983640464560129,1.60443108742525,.981449097215435,-.36365884504507,2.73688129755198,.49042093811722,-2.07837275479366,-.249330654756028,-.23705495398748,-.0731272424127131,3.80858866164133,-.0731272424127131, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65, ,1,2.5,2.5,2,13,1,47,4,2,1,1,0,0,0,0,0, ,1.00267023172272,-.58934011160304,-.590913786264513,-.625812202826182,.589678167418974,.981449097215435,.68930947531769,1.20225820117351,-.965272957564054,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
66, ,1,1.5,1.5,2.166666667,13,0,27,3,3,1,1,0,0,0,0,0, ,1.00267023172272,-1.35799992586472,-1.36162610034622,-.480976952622138,.589678167418974,-1.01345287212464,-1.06563772528691,.434946652984274,.49042093811722,.478572673801172,-.249330654756028,-.23705495398748,-.0731272424127131,-.261160365369691,-.0731272424127131, ,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
