ID,,cond,cond.F,att1_1,att1_2,att1_3,base_mor,base_prac,base_cons,base_know,base_emo,att2_1,att2_2,att2_3,resp1,resp2,resp3,resp4,resp5,resp6,essAQ,essMoral,essPrac,poli_soc,poli_econ,rate1,rate2,rate3,rate4,rate5,rate6,age,gender,d_gen_4_TEXT,language,d_lang_10_TEXT,duplicatedIP
R_1DuJ4YePLB7ZR3S,,1,Practical Message,3,2,3,3,4,4,3,2,2,1,2,"I hadn't thought of the price of moderating the legal distribution, so that was a new idea for me to consider.","I didn't find the argument about loss of productivity to strong, as those who want to smoke, will find a way with or without legalization",NA,NA,NA,NA,5,2,6,2,3,2,1,NA,NA,NA,NA,29,Female,NA,1,NA,FALSE
R_22ojrDFldouOqFj,,1,Practical Message,2,2,2,3,3,3,2,1,1,1,1,If any of my thoughts would change after the reading the article,All my opinions on marijuana,NA,NA,NA,NA,7,7,7,1,1,3,1,NA,NA,NA,NA,29,Female,NA,1,NA,FALSE
R_3IQTUXaLP56hPPc,,-1,Moral Message,4,4,4,4,4,3,4,3,4,4,4,I see both sides to this issue. I think marijuana should be legalized but maybe more regulation is needed as far as use of minors and also driving privileges.,NA,NA,NA,NA,NA,6,5,6,2,2,1,NA,NA,NA,NA,NA,36,Female,NA,1,NA,FALSE
R_2Qyzj1xFfyTGN9c,,1,Practical Message,4,4,4,5,4,2,5,2,4,4,4,fear mongering,untrue,not based in facts,NA,NA,NA,1,7,1,2,4,1,1,1,NA,NA,NA,30,Female,NA,1,NA,FALSE
R_sO6j2a3Q4cGMDxD,,1,Practical Message,3,3,2,3,4,2,3,1,3,3,2,"Okay, but why aren't they considering how much business/taxes we're losing due to the black market? Legalizing marijuana eliminates the black market","Okay, but also black people are predominantly more incriminated based on marijuana usage. There is no studies that show that marijuana use is ""dangerous"" - just that it can make you more hungry.","Okay, but then alcohol is WAY worse maybe that should be banned before marijuana is. You can  use the same arguments here.",NA,NA,NA,3,3,4,1,2,1,1,4,NA,NA,NA,24,Female,NA,1,NA,FALSE
R_3KVcBBojXJJ5sGF,,-1,Moral Message,1,0,1,3,3,2,3,3,-2,-3,-2,Marijuana promotes immoral characters,Marijuana is harmful to the body,Marijuana has more negatives,NA,NA,NA,7,7,6,1,1,2,2,2,NA,NA,NA,26,Male,NA,1,NA,FALSE
R_SDZvhFNQTB995IZ,,-1,Moral Message,4,4,4,5,1,4,2,3,4,4,4,The same concerns that were listed in the essay could also be applied to alcohol. Just because it will be legal doesn't mean that people are going to start using it all of a sudden.,NA,NA,NA,NA,NA,1,6,2,2,3,1,NA,NA,NA,NA,NA,24,Male,NA,1,NA,FALSE
R_1ON5Bu1vvbWF0na,,1,Practical Message,1,2,2,2,3,3,2,3,0,1,0,Just wondering if those figures were true,I'd like to see if Canada really had that much lower productivity,Makes some good points,NA,NA,NA,6,4,6,1,2,1,1,2,NA,NA,NA,37,Female,NA,1,NA,FALSE
R_qDa00y4esuQT56h,,1,Practical Message,4,4,4,5,5,3,5,4,4,4,4,Marijuana causes more good than bad,Legalizing marijuana for recreational use is a good thing because of the tax money it produces,NA,NA,NA,NA,4,6,6,4,4,1,1,NA,NA,NA,NA,22,Male,NA,1,NA,FALSE
R_2COrecbzEjEMgC6,,1,Practical Message,-3,-4,-4,5,4,4,4,2,0,-3,-1,"I'm in favor of not legalizing marijuana, as I know that the risks outweighs the benefits.",NA,NA,NA,NA,NA,6,4,3,3,4,2,NA,NA,NA,NA,NA,43,Female,NA,1,NA,FALSE
R_1fiJNnI06h4jb7v,,1,Practical Message,3,3,3,4,4,4,4,3,1,1,1,I dont think a slowed workforce would happen but a less stressed and better rested one would increase workflow,upfront spending would pay off in the long run,the tax burden is a joke if you tax marijuanna youll make 10 fold back because everyone smokes now a days,NA,NA,NA,4,3,5,4,4,1,1,1,NA,NA,NA,26,Female,NA,1,NA,FALSE
R_RPupDTSrMGogLux,,1,Practical Message,4,4,4,5,5,1,5,5,4,4,4,this essay is stupid,whoever wrote this does not know anything about pot,this is a waste of time,NA,NA,NA,1,1,1,5,5,3,3,3,NA,NA,NA,29,Female,NA,1,NA,FALSE
R_2xPClD5enNHAewM,,1,Practical Message,4,4,4,3,4,1,4,1,4,4,4,"I'm bored by the subject - nevertheless, I slogged through it.",NA,NA,NA,NA,NA,1,2,6,1,2,3,NA,NA,NA,NA,NA,60,Male,NA,1,NA,FALSE
R_1ISH2GJ7JSnELoM,,1,Practical Message,-2,-3,-1,2,2,2,3,1,2,-1,1,how much money we can raise by sellin i,how much trouble it would lead too,NA,NA,NA,NA,4,5,4,4,4,3,3,NA,NA,NA,NA,34,Male,NA,1,NA,FALSE
R_3ktBun5ym0048wo,,-1,Moral Message,3,3,4,2,4,3,4,3,3,3,3,You need more proof on how marijuana would disproportionately impact marginalized communities,It's possible that the high driving accidents are a function of more people driving while high and not being high,"It would likely take a long time for the existence of ""Big Marijuana"". Even so, marijuana is inherently less harmless than tobacco is.",NA,NA,NA,3,6,4,2,2,3,1,1,NA,NA,NA,22,Male,NA,1,NA,FALSE
R_211e9lotyKJ7Kjt,,-1,Moral Message,-1,-1,-1,3,5,2,3,2,-1,-1,-1,what about no way to test for intoxication levels,morality is subjective,"impaired driving is one of my biggest worries, too","pot isnt as addictive as the other things, so i dont think thats an issue","kids already get into booze and cigs, why worry about pot too","mental illness needs more funding, not concern about marijuana",4,6,4,2,2,2,4,2,3,3,3,36,Female,NA,1,NA,FALSE
R_2fAKjcz4QdSSglz,,1,Practical Message,4,4,4,4,4,1,4,4,3,3,3,Positives of legalization outweigh negatives,Money gained from legal sales could help schools and infrastructure,It is not a very harmful drug,It is less harmful than alcohol,NA,NA,2,3,5,1,1,1,1,1,1,NA,NA,44,Male,NA,1,NA,FALSE
R_1mgcZjdBgDLZp1L,,-1,Moral Message,0,0,0,1,5,1,5,1,0,0,0,i don't care about morals,what's in it for me,NA,NA,NA,NA,1,7,7,2,5,1,1,NA,NA,NA,NA,55,Male,NA,1,NA,FALSE
R_3FXzmKQxB2Z9PNO,,-1,Moral Message,4,4,4,2,3,2,3,5,4,4,4,It's annoying to have someone try to create a moral panic over pot.,"Let's go ahead and compare those ""high driving"" statistics to drunk driving, shall we?",Is the current idea that kids aren't smoking pot? They are. All the time. In my bit of the world the main problem with kids is freaking heroin.,NA,NA,NA,3,7,1,2,1,1,1,3,NA,NA,NA,25,Male,NA,1,NA,FALSE
R_1H6vK3fprnhnE9Z,,1,Practical Message,3,3,3,3,4,2,3,3,1,1,1,"I have never smoked marijuana, but I think it should be legalized for many reasons",First and foremost the taxes we could earn from it are astounding,"Next many people already use it, and making it legal would take away many people in prisons",It is also very useful to many people with diseases.,NA,NA,4,5,5,4,4,1,1,1,1,NA,NA,41,Male,NA,1,NA,FALSE
R_3HC63smBRBCBgPQ,,-1,Moral Message,4,4,4,5,4,1,5,1,4,4,4,The war on drugs is far more harmful to minorities and children than any drug.,Marijuana criminalization is unethical and equates to nothing short of a genocide against peaceful people who wish to do nothing more than partake in a natural substance that is far less dangerous than alcohol.,NA,NA,NA,NA,1,4,4,1,5,1,1,NA,NA,NA,NA,28,Male,NA,1,NA,FALSE
R_3PEJJbVim8RHgAy,,-1,Moral Message,4,4,4,4,5,3,3,4,1,2,2,I think it will to more good than bad. It will calm people down,As for the impairment and people driving that would happen even if it wasn't legal.,it will help more people with pain and ailments,it will help with anxiety in people,NA,NA,5,5,6,4,4,1,1,1,1,NA,NA,36,Female,NA,1,NA,FALSE
R_2cBGqT48kpCW0RP,,1,Practical Message,4,4,4,5,5,1,5,2,4,4,4,I just can't take people seriously when they are against marijuana.,I feel that people who are against marijuana are not as smart.,I feel like people that are against marijuana also watch fox news.,I just really didn't take it seriously because I am not going to be swayed.,I only really skimmed the article because when I did focus I just sort of rolled my eyes at the opinion.,Marijuana use generally has more pros than cons.,1,4,2,1,1,1,1,1,1,1,1,34,Male,NA,1,NA,FALSE
R_1M3Av9oZCfMfTCQ,,1,Practical Message,4,4,4,4,5,1,5,5,4,4,4,This is all a bunch of bologna. States that have legalized marijuana have greatly increased their state funds.,"Marijuana can actually make people more productive, depending on the strain that is smoked. It's not going to cause people to be lazy on their jobs unless they smoke a relaxing strain.",There are WAY more benefits to legalizing marijuana than there are consequences.,NA,NA,NA,1,2,3,3,3,1,1,1,NA,NA,NA,24,Female,NA,1,NA,FALSE
R_2aL9CatY5IpEzhG,,1,Practical Message,4,3,4,5,4,3,2,3,4,3,4,Biased,Argumentative,Confused,Believable,Rational,Researched,5,3,5,2,4,2,2,3,2,2,2,30,Male,NA,1,NA,FALSE
R_2wsHgExhRRlpCU4,,-1,Moral Message,4,4,4,3,3,3,3,3,4,4,4,No basis for these claims,They haven't seen what it's done in countries that have legalized it,Not true facts,NA,NA,NA,1,7,4,3,4,1,1,1,NA,NA,NA,30,Male,NA,1,NA,TRUE
R_eWqSfiwmcW4S6Nr,,1,Practical Message,4,4,4,4,4,1,4,2,3,3,4,First of all- I agree with the fact its easy to transport across state lines but that could be negated by making it legal throughout the country.,I know many people who are actually more productive when they use marijuana so that point is moot.,It could be regulated like alcohol in regards to driving. A THC metabolite is testable.,"Decreased productivity in the workplace is a burden that would fall on the user just like alcohol. If you're a marijuana user and your work performance suffers and you're fired.. that would be your fault, not the fault of the fact marijuana is legalized.",NA,NA,3,2,6,3,3,1,1,1,1,NA,NA,30,Female,NA,1,NA,FALSE
R_1LtEgvHoxT0gGop,,-1,Moral Message,-4,-4,-4,5,4,1,4,1,-4,-4,-4,we don't need another addictive drug legalized,kills your brain,hurts society,NA,NA,NA,5,1,7,5,4,2,2,2,NA,NA,NA,41,Male,NA,1,NA,FALSE
R_2s1GzzCzQoiscub,,1,Practical Message,4,2,2,2,3,2,4,2,3,2,2,It is legalized in a lot of places,alcohol impairs worse and it is legal,NA,NA,NA,NA,4,1,4,3,3,1,1,NA,NA,NA,NA,30,Male,NA,1,NA,FALSE
R_1GEaJmvnmBgYR7w,,-1,Moral Message,4,4,4,4,5,3,3,3,4,4,4,"Ugh, do I really have to read this.",What about the moral issue of being told what to do?,Why are you assuming teens will be able to smoke more pot?,"Simple, just make them like cigarettes.  If a teen is determined enough to get them, it will happen, regardless of if it's legal.",What about the destruction of families that stems from a stupid arrest record for having a small amount of pot?,This guy is an idiot.,3,7,1,1,4,4,1,3,1,1,4,30,Female,NA,1,NA,FALSE
R_BX5bKeuWghJAtdT,,1,Practical Message,4,4,4,5,5,1,5,1,4,4,4,feels good man,i bet the drug companies are paying shills overtime to trash weed,weed is harmless,if people want to smoke themselves into oblivion its their choice,other states losing tax revenue,i hope my state legalizes soon,1,1,7,5,5,1,2,1,4,1,1,30,Male,NA,1,NA,FALSE
R_efAPiTv99zCEAKJ,,1,Practical Message,4,4,4,5,4,1,5,2,4,4,4,It's biased,The opinion is ill informed on all the benefits,NA,NA,NA,NA,3,5,3,1,1,2,2,NA,NA,NA,NA,32,Female,NA,1,NA,FALSE
R_3ExWgz8GgUGovpf,,-1,Moral Message,4,4,4,2,5,1,4,1,3,3,3,alcohol causes more deaths than marijuana and is legal,going to jail for smoking marijuana just leads to a negative cycle of behavior,Being legal doesn't mean there can't be laws around smoking it,I am no more likely to smoke it because it's legal,NA,NA,4,6,3,1,1,1,1,1,1,NA,NA,43,Female,NA,1,NA,FALSE
R_xyZM4xM0Scjrfbz,,-1,Moral Message,3,3,3,4,4,4,4,2,1,1,1,"I thought that marijuana legalization is the right thing to do, but comes with risks and should be regulated in order to ensure the safety of it's users.",I understood how people could be against the legalization of marijuana and that they have valid concerns about it.,I thought that I could be wrong about legalization and that it might not be a good thing in the long run.,I thought about my own use of marijuana in the past and how it was harmful to my own life.,NA,NA,5,6,5,2,2,1,3,2,3,NA,NA,33,Other,genderfluid,1,NA,FALSE
R_3QPnFRd6TWXKjtB,,-1,Moral Message,4,4,4,5,5,4,3,4,4,4,4,I am not interested in a moral argument.  The norms of our society change and that is fine with me.,I would want more info about how this industry could become the tobacco industry.,This article seems very biased.,Are there actual studies to say marijuana use is noticeably higher among minorities or are they just prosecuted more.,This article makes lots of statements without any data to back it up.,Do mentally ill people really use marijuana at a higher rate than the rest of the population.,1,5,1,1,1,1,3,1,1,3,3,31,Male,NA,1,NA,FALSE
R_3HzhWHg86KOYdVs,,1,Practical Message,1,2,2,3,4,3,3,3,-1,-2,-1,Safer than alcohol,Better Uses such as medical,Helps relax people,NA,NA,NA,3,3,3,4,4,3,3,3,NA,NA,NA,47,Male,NA,1,NA,FALSE
R_6LJXv4BVjqZbUgF,,-1,Moral Message,3,3,3,4,4,4,4,4,3,3,3,Neutral,NA,NA,NA,NA,NA,4,6,4,3,3,1,NA,NA,NA,NA,NA,30,Male,NA,1,NA,FALSE
R_3rVv3gji66Q8HMH,,1,Practical Message,4,4,4,4,4,4,5,3,4,4,4,I thought that alot of the points were wrong and poorly researched,i felt that some of the reasons to not legalize were a non-issue,i thought that the person who wrote this essay is biased against marijuana legalization,NA,NA,NA,1,5,4,3,3,2,2,2,NA,NA,NA,28,Male,NA,1,NA,FALSE
R_3szcQPkdCcsh0h6,,1,Practical Message,3,3,3,3,1,3,4,3,3,3,3,it helps with a lot of good things,i would love for it to be legalized,NA,NA,NA,NA,2,4,2,3,3,1,1,NA,NA,NA,NA,25,Female,NA,10,polish,FALSE
R_1Qs8R57S9Ch6lCd,,-1,Moral Message,1,-1,-1,4,5,4,4,3,-1,-2,-2,easy access to marijuana could harm young people,it could cause more road accidents as people will drive under influence,it has damaging effects on young people's body,NA,NA,NA,7,7,4,1,2,2,2,2,NA,NA,NA,46,Female,NA,1,NA,FALSE
R_3kvneLCGBwYz7Pa,,-1,Moral Message,3,3,3,2,5,3,4,4,3,3,3,The article assumes marijuana isn't already everywhere.,Marijuana is easier for kids to get than alcohol.,NA,NA,NA,NA,5,6,5,2,3,1,1,NA,NA,NA,NA,30,Male,NA,1,NA,FALSE
R_1F2FxYdzEoUgdQs,,-1,Moral Message,3,4,4,5,4,5,4,5,2,3,4,Millions of drivers and pedestrians would become vulnerable to injury or death caused by driving under the influence.,marijuana legalization is incredibly harmful to some of the most vulnerable and marginalized individuals in our society,Heavy-smoking teens are 60 percent less likely to graduate from high school and are seven times more likely to attempt suicide.,legalizing marijuana could threaten the safety of society in general,A large marijuana industry is likely to unjustly sacrifice the welfare of consumers in order to increase profits. In particular,"a common tactic is to exploit people already using the drug heavily and irresponsibly, marketing aggressively to heavy pot users who may have a drug problem.",6,4,6,5,5,4,3,2,3,4,3,28,Female,NA,1,NA,FALSE
R_2DTD7eU3JqtUhFq,,1,Practical Message,4,4,4,4,5,3,5,2,4,4,4,I don't think the point that it'd cost too much to regulate rings true. It seems like legalization has led to a windfall everywhere it has been implemented.,I don't think the idea that losses arise due to lessened productivity ring true either. I have never seen anything that supports this.,NA,NA,NA,NA,2,1,7,2,2,1,1,NA,NA,NA,NA,32,Male,NA,1,NA,FALSE
R_3BHwSYirgWn8OWt,,-1,Moral Message,2,0,2,5,4,5,4,4,2,3,2,Sounds like fear mongering,NA,NA,NA,NA,NA,1,7,1,1,1,1,NA,NA,NA,NA,NA,29,Male,NA,1,NA,FALSE
R_3DjQf61MBMDAsDE,,1,Practical Message,3,3,4,4,5,5,5,4,4,3,4,favorable,NA,NA,NA,NA,NA,6,7,5,5,4,3,NA,NA,NA,NA,NA,42,Male,NA,1,NA,FALSE
R_BG0VzkamGFybN1T,,-1,Moral Message,3,2,2,2,5,2,5,1,3,3,2,Some of the points have some validity.,There isn't a good way to test high driving.,NA,NA,NA,NA,4,3,6,2,3,2,2,NA,NA,NA,NA,35,Male,NA,1,NA,FALSE
R_3qBTiK7fXZUCsEm,,-1,Moral Message,0,2,3,3,4,5,4,3,1,2,3,none,none,none,none,none,none,4,6,4,3,4,3,4,3,4,3,4,30,Male,NA,1,NA,FALSE
R_brusqB6Yir0YHPr,,-1,Moral Message,1,1,1,2,5,1,5,3,-1,-1,-1,Marijuana use in the black community,Impaired drivers/problematic,Big business/takeover,Crime associated with marijuana use?,NA,NA,7,7,6,1,2,3,2,2,3,NA,NA,57,Female,NA,1,NA,FALSE
R_11XC9VwAd8vTcju,,-1,Moral Message,4,4,4,1,2,4,2,1,4,4,4,"We already have alcohol allowed everywhere in the world and the effects of it are more serious compared to marijuana.It destroys your health,you lose your self control and act unpredictably.The marijuanna is less dangerous drug.",Some people have medical condition to consume and use marijuanna and pharmacy industry uses prohibition on marijuanna to offer more expensive substitutes.,Marijuanna is a natual plant.,NA,NA,NA,1,1,1,3,3,1,1,3,NA,NA,NA,25,Male,NA,1,NA,FALSE
R_1lnNiKH5le2t5EX,,-1,Moral Message,-3,-3,-3,3,5,1,4,4,-4,-4,-4,this essay brings up a lot of good points,NA,NA,NA,NA,NA,7,7,5,2,1,2,NA,NA,NA,NA,NA,27,Female,NA,1,NA,FALSE
R_215NWytlk10z4F1,,1,Practical Message,2,2,2,1,2,4,1,1,1,1,1,I really like the notion of use of marijuana for medicinal needs and not so much just a recreational drug,The war on drugs is an absolute failure so why not try and regulate it,People are going to do it anyways,Legalizing it will certainly remove some of the criminal element of it.,I don't personally have any desire to use this,Laws should still be in place for intoxication purposes,5,6,6,5,5,1,1,3,1,4,2,39,Female,NA,1,NA,FALSE
R_AvRGLHuugrTeAhj,,-1,Moral Message,-4,-4,-4,5,2,1,4,2,-4,-4,-4,Reckless,Immoral,Unsafe,Wrong,Bad,NA,7,4,7,3,3,2,2,2,2,2,NA,39,Female,NA,1,NA,FALSE
R_2aJZXYJNvkxHXp7,,-1,Moral Message,0,0,0,3,3,3,2,2,0,0,0,"I'm kinda mixed with the legalization of marijuana. On one hand, it'll be useful for helping patients. But I'm also worried that addicts would use it the wrong way.",NA,NA,NA,NA,NA,4,4,5,3,3,3,NA,NA,NA,NA,NA,24,Male,NA,1,NA,FALSE
R_1QDWpGSTrYPP4gV,,-1,Moral Message,3,3,3,3,2,3,3,3,2,0,1,marijuana legalization would bring in millions of tax dollars,marijuana is safer than alcohol,"impaired drivers would not increase, there area already drunk drivers",all the costs associated with criminalizing possession would dissapear,NA,NA,4,3,5,2,2,1,1,1,1,NA,NA,28,Male,NA,1,NA,FALSE
R_1MKFCwahhuctBnM,,1,Practical Message,2,2,2,5,5,5,5,2,4,4,4,We should not spend so many resources on drug law enforcement.,Marijuana has medical benefits as well as recreational.,I would like to see these studies that show negative outcomes of marijuana use with respect to employment.,If we legalize marijuana plenty of people will stop buying it from the black market.,Why would anyone want to buy drugs from the black market if they didn't have to.,Legalizing marijuana would also help stop some of the violence from drug cartels and gangs.,2,5,5,2,2,1,1,1,1,4,1,35,Female,NA,1,NA,FALSE
R_3hupEfoW2YBOlFI,,-1,Moral Message,4,4,4,4,5,3,5,5,4,4,4,Some things in this essay are not true.,There is no research stated to back up the accusations.,NA,NA,NA,NA,1,1,1,4,4,1,1,NA,NA,NA,NA,23,Female,NA,1,NA,FALSE
R_3DnkuQOdCqFUnOm,,-1,Moral Message,3,3,3,3,4,1,5,5,3,3,3,Alcohol is legal and has much worse consequences and side effects.,"Prescription pills are given, which cause issues while driving, yet no one brings up this point.",The benefits of its use for medicinal purposes weigh much heavier than the driving consequences.,NA,NA,NA,2,4,3,4,4,1,1,1,NA,NA,NA,29,Female,NA,1,NA,FALSE
R_2rAAg4iIc8zYF21,,-1,Moral Message,2,2,2,4,4,2,4,1,2,2,2,I wonder where these facts about adolescent marijuana use have come from.,These statistics about impaired driving in Canada increasing the associated death rate would be much more convincing if I saw cited studies.,I need to look up this information myself to get an unbiased look at these facts stated here.,NA,NA,NA,2,7,1,1,1,3,3,3,NA,NA,NA,28,Female,NA,1,NA,FALSE
R_27KeoSEFaEVwkq2,,-1,Moral Message,-4,-4,-4,2,3,1,1,2,-4,-4,-4,"I am totally opposed legalization of marijuana, first because is like to let peoples use drugs and don't let them be penalized and second because would cause a lot harm to the civilization.  People that uses Marijuana, are not very conscious about what are they doing",NA,NA,NA,NA,NA,7,7,7,4,4,2,NA,NA,NA,NA,NA,35,Female,NA,1,NA,FALSE
R_2Sr7HiUaZZmY1rK,,1,Practical Message,4,4,4,5,5,5,5,5,4,4,4,This article is pure BS.  This is america right?  If i want to smoke weed everyday I should be able to dammit.  Fucking alcohol causes more BS than weed ever did and it's somehow legal.,NA,NA,NA,NA,NA,1,1,7,3,2,1,NA,NA,NA,NA,NA,34,Male,NA,1,NA,FALSE
