"Data from: PONE-D-18-12899  --  Hot and bothered: Public attitudes towards heat stress and outdoor access for dairy cows
",,,,,,,,,,,,,,,,,,,
How much do you disagree/agree with the way these cows are being raised?,How inappropriate/appropriate do you consider the cow's living conditions to be?,Do you consider the way these cows are living to be unacceptable/acceptable?,Please explain your general opinion about the scenario you read.,If there were one thing you could change about this farm what would that be?,"How unlikely/likely do you
4,5,5,If they have free roam and are shaded from heat they should be good.,Cows have more time outside,1,5,5,4,5,5,31,1,3,6,6,1,1,1,1
1,2,1,"If animals are kept in captivity by a person, that person has an obligation to provide the basic necessities of life, of which shelter from harsh elements, is one.",plant trees to provide shade,4,2,2,2,4,2,36,1,1,3,3,2,1,2,2
4,4,4,They suffer no heat stress.,Nothing.,2,4,4,4,4,4,44,1,2,4,3,1,2,2,2
4,4,4,,none.,2,4,4,4,3,4,33,2,1,4,4,1,2,2,1
4,4,4,"I mean, they have shelter. I feel like cows in a natural environment would be iffy if they have any shelter at all.","Maybe someone that went out and told the cows how great they were everyday. Cows produce more milk when they are happier, for example, and have names.",2,3,4,4,4,4,27,2,2,5,1,2,2,2,2
4,4,4,Okay overall,no idea,4,4,2,4,4,4,29,2,2,5,3,1,2,2,2
2,2,2,I believe it should be made sure that the cows are as healthy as can be.,To include many more shaded areas.,2,4,4,3,4,4,26,1,2,4,4,1,1,2,1
1,1,1,I think it is inhumane to subject them to heat stress when there is a simple solution to the problem at hand. By installing fans you can greatly increase their quality of life.,To add fans to the barn that the cows are kept in to reduce heat stress.,5,2,1,2,2,2,31,1,1,5,4,2,2,1,1
2,2,2,they are in an unhealthy enviroment,cows have space,4,2,2,2,2,2,44,2,1,2,4,1,1,2,1
3,3,3,It was to give my thoughts on how the cow's living conditions are.,Have the cow be allowed to be outside more.,3,3,3,3,3,4,31,1,2,5,3,2,1,2,1
3,3,4,Rather cruel but not really that bad,more open fields,3,3,3,2,2,4,24,1,2,2,2,2,1,2,2
3,4,3,"In some areas of the country, cows will be subject to this type of weather and I'm not sure the farmers can do much about it.",Options to make it more comfortable for the animals.,2,3,3,4,5,4,45,1,2,6,7,1,1,2,2
2,2,2,some ventilation is in order and access to outdoors but otherwise it's fine,outdoor access,4,2,2,2,3,2,58,1,3,2,1,2,1,1,1
1,1,1,The cows are being treated poorly.,Give them better living conditions.,5,1,1,1,1,1,27,1,2,5,7,2,2,2,2
2,2,2,"I think that the cows should at least have access to a shady area for hot and sunny days or even rainy days. There should be enough room for them to move around and all should be able to find a comfortable spot, no matter the weather.",I would give the cows more room to graze with shaded areas.,4,2,2,2,3,2,42,2,2,3,2,1,2,2,1
4,3,3,"the cow is given food for staying in the barn, there is no animal abuse so it is good to me.",make more space for the cow to walk around,2,3,3,3,3,3,25,2,1,5,2,2,2,2,1
2,2,2,"I think that its good that the cows can roam freely in a field, but they need some shaded area or building so they can get out of the heat and regulate themselves.","Put up a shaded area outside for the cows, with plenty of water",4,2,2,2,3,3,27,2,2,3,3,2,2,2,2
3,3,3,"I don't have a strong opinion on the cows. Most of the images I see of cows are in large, open fields with no shade so I don't think that situation is unusual for them.",Add places for shade for the cows.,3,4,3,4,4,4,40,2,1,5,3,2,2,1,1
2,2,2,"They should have fans or whatever it takes to relieve their heat stress, obviously.",Fans.,4,3,2,2,4,3,56,1,1,4,1,1,1,2,2
2,2,2,"I think it's great that they're allowed to graze freely, as most dairy cows are not. However, some kind of shade for hot days is a must to help prevent their suffering needlessly.","Plant some trees or put up a lean-to for shade, near the water.",3,3,4,3,4,4,42,2,1,5,1,2,2,2,2
2,2,2,"I think it's nice that the cows are able to go into the pasture, so it's not they aren't in the worst conditions possible, but they do need shade so they don't have problems with the sun and the heat.",Plant some trees.,2,4,4,4,4,4,33,1,2,4,4,2,1,1,2
2,2,2,The cows should not be kept in conditions where they could suffer from heat stress. That is not natural and is not in their best interest.,Allow the cows to be able to get into a comfortable place out of the heat. Maybe access to a pond or a shady area of trees.,3,3,2,2,1,3,29,2,2,5,5,2,1,2,2
3,3,4,"I don't really have much of an opinion. They have food, they are cooled in the hot weather, so it's not like they're suffering. But I imagine things could be improved.","Make it so that instead of claiming they're ""unlikely"" to suffer from heat stroke, have it be improbable. When someone fixes your AC, you don't want to hear that you're ""unlikely"" to suffer from heat stroke, right?",3,3,3,3,2,3,25,1,1,2,1,1,1,2,2
2,2,2,"While the cows are not in the worst possible conditions I can imagine, they are unduly stressed by their confined quarters. A fairly simple solution - fans or better ventilation - will help alleviate the problem, and since it is easily fixable, it is cruel and inhumane to make them suffer now. ","I'd make sure the cows got out of the barn, especially on hot days, into a pasture. ",4,2,3,2,2,2,37,2,1,5,3,2,2,2,2
4,4,4,I thought the cows were being raised in acceptable conditions,Just to make sure they had plenty of clean water and a good food source,2,4,4,4,4,4,52,2,2,4,6,1,2,1,2
2,1,2,it's wrong for them to be suffering in the heat. I feel bad for them.,they offered a shady/cooler area for the cows to be more comfortable.,4,3,2,3,4,4,30,2,1,2,1,1,2,2,2
4,4,4,I don't really have a problem with this. I think animals are a good source of food and they have less rights than humans. ,More space for the cows. ,2,3,4,3,3,4,23,2,1,5,2,2,2,2,2
1,2,2,"I feel like cows shouldn't be cooked up, they need room to roam and socialize. ",I would open the fences so they can move more.,5,2,2,1,2,2,24,1,1,3,1,1,1,2,1
2,2,2,The cows suffer and that suffering could be ameliorated pretty easily just but building some structures.,Build some artificial shade structures.,5,2,2,2,2,3,29,1,1,5,5,1,1,2,2
4,2,4,,na,2,3,4,4,4,3,26,2,1,3,3,2,1,2,2
4,4,4,"As long as the cows aren't in pain or very confined, I'm okay with it.",Nothing.,2,3,3,4,2,4,37,2,3,5,2,2,2,1,2
2,2,2,i felt there should be an area where they could get out of the hot sun if they wished to,i'd add an area where they could get out of the sun if they needed to,4,2,2,2,3,3,37,1,3,2,1,1,2,1,2
4,4,4,I think it is completely acceptable. The cows have access to food so we know they are not going hungry and they are kept cool so as not to overheat. It is clear that the owner cares for the animals,I dont think I would change anything,2,4,4,4,4,4,27,1,2,5,2,1,1,2,2
1,1,1,"it isnt healthy for the cows. if they dont live healthily, then i dont think they would be good for consumption",put the cows in greener pastures,5,1,1,1,1,1,28,1,2,2,3,2,2,2,2
1,1,1,Cows are living creatures. Not providing them any shade is cruel and shows a lack of feeling for them as living beings.,I'd put up sunshades for the cows so they could escape the sun.,5,1,1,1,1,2,55,2,2,3,2,2,1,2,2
3,2,1,Dairy Cows and heat stroke,Barn with A/C,3,4,3,3,1,2,21,1,3,3,1,1,2,2,2
1,1,1,It's very sad. They have no fans or any way to cool themselves off and suffer heat stress. A little effort into their well being would not break the bank.,Air conditioning in barn.,5,1,1,1,3,2,47,1,3,2,2,1,1,2,2
4,4,4,The cows have the shaded area in the pasture therefore it protects them from extreme heat,"Nothing at the moment, this all that I know right now.",2,4,4,4,4,4,57,2,2,3,4,2,1,2,2
3,4,4,"From what I understood, the cows are raised in a barn with fans to protect from heat. I would consider that acceptable, although ideal would be in a pasture with room to wander and such.",Have the cows spend time outside.,2,3,4,3,3,4,32,1,1,6,4,2,1,2,1
1,2,1,"I think that cows should be able to be outside and not stuck in a barn, ","The cows would have access to a pasture and a barn, ",5,2,1,1,1,2,28,2,2,3,4,2,2,2,2
4,4,4,It seemed like a pretty regular setting that most cows would be raised in. They weren't being tortured and had a standard living arrangement.,Have some area they could be in to make sure they don't get overheated,2,4,4,4,4,4,34,1,2,6,6,1,2,2,2
4,4,5,I support these living conditions for these animals,nothing,3,3,3,3,4,4,33,1,2,2,2,2,1,2,2
2,2,2,The cows shouldn't live in an environment that is so hot for them that it induces stress. It isn't healthy for them.,I would at least give them some kind of mechanism to effectively keep them cool.,4,2,2,2,3,2,25,2,2,3,1,2,1,1,1
4,4,4,I think it's better than being trapped in small cage where they can barely move.,"Nothing, I think they are treating the cows well.",2,4,4,4,4,4,33,2,2,3,5,2,1,2,2
3,2,2,The only factor that bothers me is the possibility of heat stroke and cows dying because of it.,Add some sort of airflow system such as fans throughout to help combat the heat.,4,3,2,3,3,3,29,1,1,2,3,1,1,2,2
4,4,4,i have seen cow here because live by some farmer. i like ti go visit.  ,maybe the smell.,1,5,5,5,5,5,57,2,3,3,1,1,2,2,2
2,2,2,It's too hot,put fans in barn,3,2,2,2,4,3,36,1,2,2,1,2,1,2,2
4,4,5,"They are being treated in a very humane way, even above and beyond, I don't think I would worry about a fan.",I think the kids would probably be happier just to be outside.,1,3,5,5,2,4,73,1,3,3,4,1,1,2,2
4,4,4,"they are not in small stalls , but are allowed to move around and there is shade available",I would make sure they are checked by a vet on a regular basis,2,4,4,4,3,4,61,1,2,5,4,2,1,2,2
4,5,5,"I'm perfectly fine with how the cows are being raised and treated.  They've got land and shade to move around in.  Seems perfectly fine to me.  I don't think this is NECESSARY, but it's certainly acceptable to me.","Maybe more shade trees to make sure every cow had the space in the shade they wanted, when necessary.",1,3,5,4,4,4,39,1,2,5,2,2,2,2,2
2,2,2,"The free access to food is good, but they need a way to keep cool.",Adding fans,4,3,2,2,2,2,34,1,3,4,2,1,2,2,2
2,2,2,"I don't really have a problem with Cows being kept in a barn although I would prefer them to be out to pasture.  But if they are being kept in a barn, then there should be adequate ventilation to keep them from overheating.  It also makes good sense from a production standpoint since unstressed cattle produce higher yields of milk.",I would have the cattle fed on an open pasture.,2,3,2,3,3,4,54,1,3,3,2,2,2,2,2
2,1,2,I find cows to be treated poorly and feel like there needs to be a major change in raising them.,I would provide cleaner living spaces.,4,2,2,2,2,3,30,1,1,3,1,2,1,2,2
5,5,5,The cows seem to be well cared for. ,Nothing,1,5,5,5,5,5,27,2,2,3,4,2,1,1,2
5,5,5,Their comfort is being tended to.,More time outside.,2,3,4,4,2,4,32,1,2,3,4,2,1,2,2
1,1,1,"I think if you're going to murder the cows, you should at least give them good living conditions before you do it",Install air conditioning,4,2,2,2,1,3,31,1,2,2,2,2,1,2,2
4,4,4,I didn't read anything objectionable. They are not trapped in cages and not being abused.,a more climate controlled environment maybe,2,3,4,4,4,4,30,2,1,4,1,1,2,2,1
4,3,4,While I don't agree it is just a reality of how things are ,"Decrease suffering
",4,3,2,2,4,3,27,1,2,3,3,2,1,2,1
3,4,4,It's not ideal but it seems okay,more open spaces to roam,2,4,4,4,3,4,42,2,2,6,5,2,2,2,2
2,2,2,"I feel that because the cows are at risk of heat stress, the farmer should find a solution.",Install a fan for the animals. ,2,2,2,2,2,2,26,1,2,5,6,2,2,2,2
3,3,3,I felt there wasn't enough information to form an opinion on how the cows were being raised/treated.  How much space do they have to walk around? Are they allowed to go outside? ,"Since the scenario is a bit incomplete, I would say that the barn should capture the methane released by the cows and figure out a way to convert that to energy or resell it to someone who can.",3,3,2,3,3,3,29,1,2,5,4,2,1,2,2
3,3,4,"I don't know enough about raising cows to have a checklist of needed things for them to live well, but the scenario I read didn't cover very many variables so even though the variables they did cover seemed positive, I didn't want to make a commitment to that meaning the whole thing was perfectly fine.","If I was going to change one thing about this farm, it would be giving the cows a more natural area to roam (ie a field outside).",2,3,4,3,2,4,27,2,2,3,1,2,2,2,2
2,2,2,cows should have complete shelter whenever they want it and the ability to graze on thousands of acres of grass all year long whenever they want. and have full access to fresh CLEAN water and be free of flies and other insects attacking them all the time. they should never be loaded on cattle trucks and hauled to market. if they are to be processed they should be processed in the field completely free from stress! ,no cows,5,2,2,1,1,2,50,2,3,6,1,2,2,2,2
4,4,4,"The cows are in a barn which means they are protected, and they have fans to help keep them cool on hot days. ",I would hope the cows get access to go outside the barn.  I don't think the scenario said they got to do that. ,2,3,4,4,3,3,49,2,2,3,4,2,2,1,1
2,2,2,cows are left to graze in the hot sun without protection and with possibilty of getting heat stroke,develop a shaded area for the cows,4,2,2,2,4,2,40,2,1,6,6,1,1,1,1
4,4,4,"Seems that there is care given to the welfare of the cows, which is good.","Further consideration for the cows' welfare, and use of only natural methods",3,3,3,4,3,4,37,1,2,3,6,2,1,2,2
1,2,2,The cows should not suffer. They should be comfortable.,Add fans for the cows to cool them.,4,2,2,2,1,2,35,1,2,6,5,2,1,2,2
2,2,3,It'd be nice if they had a shelter,I'd add a cow shelter,2,4,4,4,4,4,28,1,1,5,1,2,2,2,2
3,4,4,I think it is fine. Food are provided. Weather is something you cannot change. So they have to deal with it.,Add air conditioning.,4,3,4,3,4,4,28,1,2,2,6,1,2,1,1
4,4,4,It seemed the cows were housed humanely and with no aggravating factors.,Maybe the cows could have individual feed stores,2,4,4,4,3,4,29,1,1,3,2,2,1,2,2
5,1,1,They are living beings and they need shade too. On hot days and everything they deserve to be treated like humans.,Give them shelter and shade. Along with trees and all.,5,2,3,4,1,2,35,2,3,4,3,2,1,1,2
4,3,3,"I understand that you need the cows to be in a centralized place (a barn). Ideally, it would be great if they have access to the fields. However, I appreciate that you've added fans in the barns for the cow's comfort/health-- plus I suspect the fans ensure the cows are comfortable enough to produce more milk.",Yes-- I'd like the cows to have access to roam surrounding pastures.,2,2,3,3,2,3,53,1,2,6,2,1,1,1,1
4,4,4,they are outside and at a comfortable temperature,they wouldnt be eaten,3,4,4,4,2,4,41,2,1,3,5,2,2,2,2
2,2,2,"The cows' being kept in an uncooled area where they are subject to heat stress is painful and potentially harmful for the cows, which I don't find acceptable.",I would adequately cool the areas where the cows hang out,4,2,2,2,2,3,38,1,2,5,6,1,1,2,2
5,5,5,They have food and shelter.,I would not change anything,1,5,5,5,5,5,41,2,2,5,5,2,2,2,2
4,4,4,"Well the information was not so complete, but the ability for the cows to find shade is good. Hard to know what the other factors are.",How many cows are there? I might give the cows more space.,2,3,3,3,2,4,61,2,3,7,5,2,2,2,2
5,5,5,"It's a natural setting, I think it's fine.",I am honestly don't think I would change anything.,1,3,5,4,4,5,49,2,3,3,4,1,2,2,2
3,3,3,,,3,3,3,3,3,2,25,2,1,3,3,1,2,2,2
1,1,1,It's horrible that they have no shade.,Plant more trees and have a place to cool down with fans,5,1,1,1,1,1,27,1,1,2,2,1,2,2,2
3,3,3,I really don't feel either way towards the animals. As long as they aren't dropping dead it's fine by me.,I'd change the access cows have to the barn.,2,3,3,4,2,3,23,1,3,2,1,1,1,2,2
3,4,4,cows seem to be treated humanely overall and the conditions seem passable.,"more outdoor access for the cows, land to graze on",2,3,3,3,2,3,25,1,2,5,2,2,2,2,1
5,1,2,Cows are suffering without having a fan to deal with the heat.,Add fans or possibly an industrial AC.,5,2,2,2,2,2,27,1,2,2,2,1,2,1,2
4,4,4,It seems that the care level of the herd is reasonable to high.,I do not have enough information to make a decision!!,2,4,4,4,4,4,30,2,1,5,4,2,1,2,2
4,4,4,"I think that the situation seems acceptable and fine for the cows. They can graze adequately, and they have the option of being in the sun or the shade as they desire. ",I would probably add a shelter for the cows in case of rain or bad weather.,2,4,4,4,5,4,34,2,1,6,2,2,1,2,2
5,5,5,I think it's okay because they are unlikely to get stressed out from the heat because there are shaded areas for them. ,"I would find some way to make the cows happier, like by giving them massages or more room to roam around. ",1,5,5,4,4,5,26,2,2,5,3,2,2,2,2
4,5,4,"Overall it's a good sounding environment.  The only thing I could see helping would be maybe a pond or lake or something, but if they have ample water supply from somewhere else then that would be fine.","Add a small permanent water source, like a pond.",1,5,4,4,4,4,30,1,2,6,2,2,1,2,2
2,2,2,My general opinion is that it is bad that these cows have to suffer and no one can help them or change they way that they are living their life. I feel that we should stand up and try to help these animals. ,One thing that I would change is to build something in the field so the cows have somewhere to take cover during hot and sunny days. ,4,2,2,3,4,2,27,1,1,3,3,2,1,2,1
4,4,4,"The cows are able to freely graze, as they were meant to be, but have protection from the heat and sun so they should not be uncomfortable.",Open the barn for the cows to go into when they want to.,2,4,4,4,4,4,61,1,1,3,2,1,1,2,1
4,4,4,"I think that if they can graze, have food, water, and get out of the sun, that is acceptable. But they also need people interaction.","I would have human interaction. A cow is just like a dog, cat, or other pet. They enjoy attention and love. ",2,4,4,4,3,4,40,2,3,3,3,2,2,2,2
2,2,2,I don't think animals deserve to suffer- if they are being bred for food sources then at least give them a comfortable life. ,Cool the cows down ,4,2,2,2,4,3,35,1,2,5,4,2,1,2,2
2,2,2,I think it's sad and I don't want to think abou tit,more shade,4,2,2,2,2,2,29,1,1,3,4,1,2,2,1
2,2,2,The cows suffer from heat stress due to poor living conditions. I don't think this is right.,I would install fans or air conditioning.,4,1,2,2,3,2,28,2,1,6,3,1,1,2,2
2,2,2,the conditions in which the cows are raised are not good at all for the health and performance of the cows,provide a shelter for the cows and provide pasture,5,1,2,2,4,2,26,2,2,6,5,1,1,2,2
1,1,1,How would you like to be trapped in a barn with other people with no fans? ,Give them adequate cooling,5,1,1,1,1,1,20,1,2,2,5,2,1,2,2
3,4,4,I think cows as animals are ok with natural levels of heat.,option for hte cows to go outside,3,3,4,3,3,4,48,1,2,6,7,1,1,1,1
3,4,3,I dont know. Maybe it will work out. And be good. But on the other hand. It could not work out and be a giant waste of everyones time. We just dont know. We just cant know right now with the information provided. Im on the fence about it to be honest.,More space.,3,3,3,3,3,4,30,1,2,3,4,2,1,2,2
2,2,2,I think they should raise the standards of living with these cows,Having more shade and trees,3,2,2,2,3,3,26,1,3,2,2,1,1,2,2
2,2,2,"Cows need to have shelter from sun, especially during summers.  If they are in too much heat they will be stressed out and it will affect the quality of their milk.  Besides, it's not humane to put the cows through so much heat or cold because they are living being and need protection from temperatures, just like humans.","Put a shed, like a corrugated roof on four pillars.  But the best would be to have a special room where they can get respite from tempertaure.",5,2,2,2,2,3,36,2,2,5,6,2,2,2,1
4,2,2,I feel like all areas of agriculture need to be greatly improved and regulated. ,more space for cows. ,4,1,2,2,1,2,27,1,1,2,2,2,1,1,2
4,4,4,Cattle being raised in a humane way for human consumption.,More shelter.,2,3,4,4,4,4,59,1,2,3,1,2,1,2,1
2,2,2,They are still living creatures and to put them in bad conditions is both inhumane and also possibly affecting the food they produce for market.,Allow a cooler environment for the cows.,4,2,2,2,3,3,28,1,2,5,5,2,1,2,2
4,4,4,"THEY ARE NOT MISTREATED, THEY ARE COMFORTABLE, AND PRESUMABLY WELL-FED. ALL SEEMS AS APPROPRIATE AS AN ANIMAL COULD EXPECT",THE ANIMALS WOULD HAVE MORE EXERCISE,2,4,4,4,2,4,62,1,2,6,4,2,1,2,2
4,4,4,"They have ready access to food, and they are not made to be hot in the summer. I don't know anything else about their living conditions, but based on what I did read, they are okay.","I'm not sure, it depends on how the cows are treated the rest of the time",2,3,3,3,3,3,27,2,3,4,1,2,2,2,2
5,5,5,"They are cows, being outside is their natural environment.","Hey I don't know, maybe plant some trees around so they can have some shade?",1,4,4,4,5,5,50,1,3,5,5,1,1,2,2
1,1,1,the cows should have adequate habitat/shelter to avoid heat stress,provide adequate shelter/habitat to prevent heat stress,4,2,2,2,4,4,47,2,3,4,6,1,1,1,2
3,5,5,Cows are outdoor animals and can adapt to the heat.  I live in Texas and spend time on a ranch periodically throughout the year.  Cows don't have any problem surviving in 100 + degree temperatures.,Build additional ponds from which the cows could drink or cool off.,2,3,4,4,5,4,39,1,1,5,7,2,1,1,1
3,3,3,I'm not sure how I feel about the way the cows are raised.  I don't know if it's ethical or not because I'm not too familiar with farming practices.  ,nothing,3,3,3,3,3,3,32,1,1,5,4,1,1,2,2
4,5,4,It sounds like there is nothing negative in the cows' situation.  I approve of what I read.,"We need to make sure there are heaters available for cold days, not just fans for warm days.",3,3,4,4,3,4,33,1,2,5,3,2,1,1,1
4,4,4,I thought it seemed like a reasonable situation for the cows to be raised in and I didn't find it unacceptable.,I'd like the cows to have more room.,2,4,4,3,3,4,30,2,2,4,2,1,1,2,2
3,4,3,none,nothing,2,3,3,3,4,4,26,1,3,3,3,2,2,1,1
2,2,2,i think there should be fans in the barn for the cows. during hot days they might die.,install fans in the barn,4,2,2,2,2,3,35,1,3,5,4,2,2,1,2
1,1,1,"I think that if we are going to use animals for a food source they need to be treated well, and cared for. That's the moral thing to do. If they're suffering in the heat, they need to be provided shade and shelter, just like any person working in a field should be offered.","I would add shelter to the areas that the animals are kept in, so they are not inflicted by heat stress.",4,2,2,2,3,3,25,2,2,3,2,2,2,2,2
1,1,1,I think the cows need to be treated better,More space for the cows,4,2,2,2,2,3,25,2,2,3,3,2,1,2,2
4,4,3,"I tried my best to visualize the whole situation, bu",,5,3,4,4,4,3,25,1,1,4,4,2,2,2,1
2,3,3,Cows are food and although i do feel a sense sympathy towards them at the end of the day they are food,Plant some trees in the pasture. wouldnt cost much and cows will be happier,2,2,4,4,4,4,26,1,1,2,3,2,1,2,1
5,5,5,I think this sounds like a perfectly fine environment for the cows.,I would make sure there was plenty of room and water for them.,2,4,4,4,2,4,30,1,2,3,6,2,1,2,2
4,4,5,,Nothing,5,5,4,4,4,4,24,1,1,5,2,1,2,1,2
1,2,2,"No animals (or humans) should be kept contained in a hot building where there is no climate control.  At the very least these cows should have an evaporative cooling system installed in the barn.  Heat stress is agonizing and can kill the cows or cause them to produce much less milk.  The best scenario would be to let the cows freely graze on pasture which is shaded with trees, and when they are in the barn to be fed or milked, have an evaporative cooling system in operation.  ",I would install evaporative cooling systems in all barns where animals are kept.  ,5,1,1,2,1,1,55,2,3,3,1,2,2,2,2
5,5,5,There are cows in a pasture field and on sunny warm days the cows are not likely to get heat exhaustion.,Make sure the cows have access to water all the time and have trees around for them to lay down in shades.,1,5,5,5,5,5,33,1,1,4,1,2,2,2,2
4,5,4,I think the cows are being treated well and have a good place to live.,I don't feel that any changes needs to be made.,2,4,5,4,5,5,63,1,3,3,1,1,2,1,2
2,2,2,"I've raised dairy cattle. We never would keep them in the barn, unless they were sick. They need to be able to roam and graze. ","Allow the cattle to roam, and then call them in to be milked.",5,2,2,1,1,2,29,1,1,4,3,2,1,1,2
4,4,4,cows live in a pasture that has shade on part of it so they won't get too hot. it's nice that they're outside.,i don't know. more room to graze?,2,3,4,4,3,4,45,2,1,8,4,2,1,2,2
5,4,3,i dont kno what to say,i dont kno,4,4,4,4,4,3,57,1,1,1,1,1,2,1,1
2,2,2,they should be treated better,the way they treat them,4,4,4,4,3,2,21,2,2,3,4,2,2,2,2
2,2,2,There should be proper ventilation in their living quarters.,Have them be free range cattle,4,2,2,2,2,2,40,1,2,4,4,1,2,2,2
2,2,2,I think the rancher should find a way to not heat stress the cattle while raising them.,Provide fans or at least open-able architecture to cool off the cows on hot days.,4,3,2,3,2,4,52,1,1,3,1,1,2,1,1
1,1,1,Mistreating animals raised for food is cruel and inhumane. ,Move the farm to a more hospitable climate. ,5,1,1,1,2,2,49,1,3,2,2,1,1,2,2
3,4,4,it ia very interesting,I would allows the cows more freedom,4,3,2,1,3,2,36,1,1,5,2,2,2,2,2
4,5,4,This situation sounds pretty much ideal for the cows,Allow more freedom,2,4,4,4,4,4,28,1,1,5,5,2,1,2,2
