article_id,article_id_recoded,journal_id,url_article,year,author,study,study_recoded,empirical,compare_group,type_group,name_group,scale,reflective,name_scale,type_scale,measure_scale,width_scale,width_scale_recoded,no_items,power,n_rep,n1_rep,n2_rep,n3_rep,n4_rep,n5_rep,reltot,rel1,rel2,rel3,rel4,rel5,mitest_rep,mimethod_rep,miresult_rep,milevel_rep,comments,id,open_data,open_scale,open_group,n_res,n1_res,n2_res,n3_res,n4_res,n5_res,mitest_step4,miresult_step4,milevel_step4,config_assumed,comments
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Individual gender attitude score,1,1,4,4,9,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,76",,,,,,0,,,,,388,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: Social norms on gender,1,1,4,4,9,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,83",,,,,,0,,,,,389,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,female caregivers: baseline and round 2 and round 3 and round 4 and round 5,1,1,Caregiver measure: General health,1,0,2,2,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",518,518,319,448,446,518,"0,89",,,,,,0,,,,,390,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,teachers: baseline / 12 months / 18 months,1,1,Teacher measure: Perception of school environment,1,1,4,4,18,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",371,371,237,336,321,388,"0,89",,,,,,0,,,,it seems that control/schools/families are compared over time; but not between control/schools/families,391,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,teachers: baseline / 12 months / 18 months,1,1,Teacher measure: Bullying in school,1,1,4,4,11,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",371,371,237,336,321,388,"0,88",,,,,,0,,,,it seems that control/schools/families are compared over time; but not between control/schools/families,392,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,teachers: baseline / 12 months / 18 months,1,1,Teacher measure: Teacher's negative behavior,1,1,4,4,9,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",371,371,237,336,321,388,"0,8",,,,,,0,,,,it seems that control/schools/families are compared over time; but not between control/schools/families,393,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
123,123,0,https://doi.org/10.1371/journal.pone.0223562,2019,jewkes,1,1,1,1,1,teachers: baseline / 12 months / 18 months,1,1,Teacher measure: Work stress,0,1,5,5,13,"They state their study is very underpowered. The statement about power is: ""We anticipated 250 students per grade enrolling in the study and that allowed for about 20% loss to follow up; or fewer initially recruited. The sample size calculation required an estimate of k; the between cluster coefficient of variation of the outcome measure; we used k = 0.20. A sample size of 8 clusters per trial arm would then give more than 80% power to detect as statistically significant at the 5% level a 50% reduction in IPV incidence.""",371,371,237,336,321,388,"0,92",,,,,,0,,,,"This scale has a reference to another article without ""adapted from"". It seems that control/schools/families are compared over time; but not between control/schools/families",394,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,
131,131,0,https://doi.org/10.1371/journal.pone.0211604,2019,Senanayake,1,1,1,1,0,With/out depression,1,1,EQ-5D-3L index scores (quality of life),0,1,3,3,5,"""The sample size (n) for the estimation of the construct validity was based on the publication of Cohen (1992) for the “product-moment correlation coefficient”[21]. Cohen (1992) recommends a sample size of 783 for a small effect size [21]. With an assumed response rate of 75%; minimal sample size was calculated as 1044. """,1036,371,665,,,,834,,,,,,0,,,,,417,1,1,1,1036,371,665,,,,1,0,0,0,
131,131,0,https://doi.org/10.1371/journal.pone.0211604,2019,Senanayake,1,1,1,1,0,With/out psychological distress,1,1,EQ-5D-3L index scores (quality of life),0,1,3,3,5,"""The sample size (n) for the estimation of the construct validity was based on the publication of Cohen (1992) for the “product-moment correlation coefficient”[21]. Cohen (1992) recommends a sample size of 783 for a small effect size [21]. With an assumed response rate of 75%; minimal sample size was calculated as 1044. """,1036,264,772,,,,834,,,,,,0,,,,,418,1,1,1,1036,264,772,,,,1,0,0,0,
142,142,0,https://doi.org/10.1371/journal.pone.0209940,2019,lindgren,1,1,1,1,1,less and more cognitively demanding,1,1,Rutger Alcohol Problem Index,1,1,5,5,23,0.8,101,51,50,,,,"0,79",,,,,,0,,,,The measure is validated but the authors added two items. Hence; I considered it ad-hoc,483,1,0,0,NA,NA,NA,,,,0,NA,NA,NA,
142,142,0,https://doi.org/10.1371/journal.pone.0209940,2019,lindgren,1,1,1,1,1,less and more cognitively demanding,1,1,Alcohol use disorder identification test,0,1,5,5,10,0.8,101,51,50,,,,"0,71",,,,,,0,,,,,484,1,0,0,NA,NA,NA,,,,0,NA,NA,NA,
142,142,0,https://doi.org/10.1371/journal.pone.0209940,2019,lindgren,1,1,1,1,1,less and more cognitively demanding,1,1,Drinking motives questionnaire - enhancement (explicit identity),0,1,5,5,5,0.8,101,51,50,,,,"0,84",,,,,,0,,,,,485,1,0,0,NA,NA,NA,,,,0,NA,NA,NA,
142,142,0,https://doi.org/10.1371/journal.pone.0209940,2019,lindgren,1,1,1,1,1,less and more cognitively demanding,1,1,Alcohol self concept scale,0,2,7,7,5,0.8,100,50,50,,,,"0,83",,,,,,0,,,,,487,1,0,0,NA,NA,NA,,,,0,NA,NA,NA,
142,142,0,https://doi.org/10.1371/journal.pone.0209940,2019,lindgren,1,1,1,1,1,less and more cognitively demanding,1,1,Implicit theories about willpower,0,1,6,6,6,0.8,101,51,50,,,,"0,81",,,,,,0,,,,Iat measures were not included,489,1,0,0,NA,NA,NA,,,,0,NA,NA,NA,
142,142,0,https://doi.org/10.1371/journal.pone.0209940,2019,lindgren,1,1,1,1,1,less and more cognitively demanding,1,1,Positive Affect,1,2,9,9,3,0.8,101,51,50,,,,"0,89",,,,,,0,,,,,490,1,0,0,NA,NA,NA,,,,0,NA,NA,NA,
142,142,0,https://doi.org/10.1371/journal.pone.0209940,2019,lindgren,1,1,1,1,1,less and more cognitively demanding,1,1,Negative Affect,1,2,9,9,3,0.8,101,51,50,,,,"0,86",,,,,,0,,,,,491,1,0,0,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,PAID (diabetes-related distress),0,1,4,4,20,,168,86,82,,,,"0,95",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,536,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions: time-line acute/chronic),0,1,5,5,6,,168,86,82,,,,"0,86",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,538,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions: time-line cyclical),0,1,5,5,4,,168,86,82,,,,"0,89",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,539,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions: time-line consequences),0,1,5,5,6,,168,86,82,,,,"0,75",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,540,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions: personal control),0,1,5,5,6,,168,86,82,,,,"0,72",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,541,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions: treatment control),0,1,5,5,5,,168,86,82,,,,"0,53",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,542,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions: coherence),0,1,5,5,5,,168,86,82,,,,"0,8",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,543,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions: emotional representation),0,1,5,5,6,,168,86,82,,,,"0,83",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,544,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions; causal beliefs: own behavior in the past),0,1,5,5,6,,168,86,82,,,,"0,83",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,545,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,IPQ-R (illness perceptions; causal beliefs: psychological cause),0,1,5,5,5,,168,86,82,,,,"0,72",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,546,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,DAS-3 (attitudes towards diabetes: need for special training),0,1,5,5,5,,168,86,82,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,547,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,DAS-3 (attitudes towards diabetes: perceived seriousness),0,1,5,5,7,,168,86,82,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,548,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,DAS-3 (attitudes towards diabetes: value of tight control),0,1,5,5,7,,168,86,82,,,,"0,56",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,549,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,DAS-3 (attitudes towards diabetes: psychosocial impact),0,1,5,5,6,,168,86,82,,,,"0,66",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,550,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,DAS-3 (attitudes towards diabetes: patient autonomy),0,1,5,5,8,,168,86,82,,,,"0,65",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,551,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,Perceptions of partner support: active engagement,0,1,5,5,5,,168,86,82,,,,"0,91",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,552,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,Perceptions of partner support: protective buffering,0,1,5,5,8,,168,86,82,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,553,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,Perceptions of partner support: overprotection,0,1,5,5,6,,168,86,82,,,,"0,74",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,554,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - baseline,1,1,DES-20 (empowerment),0,1,5,5,20,,168,86,82,,,,"0,94",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,555,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,PAID (diabetes-related distress),0,1,4,4,20,,150,69,81,,,,"0,95",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,556,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions: time-line acute/chronic),0,1,5,5,6,,150,69,81,,,,"0,86",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,558,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions: time-line cyclical),0,1,5,5,4,,150,69,81,,,,"0,89",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,559,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions: time-line consequences),0,1,5,5,6,,150,69,81,,,,"0,75",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,560,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions: personal control),0,1,5,5,6,,150,69,81,,,,"0,72",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,561,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions: coherence),0,1,5,5,5,,150,69,81,,,,"0,8",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,563,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions: emotional representation),0,1,5,5,6,,150,69,81,,,,"0,83",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,564,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions; causal beliefs: own behavior in the past),0,1,5,5,6,,150,69,81,,,,"0,83",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,565,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,IPQ-R (illness perceptions; causal beliefs: psychological cause),0,1,5,5,5,,150,69,81,,,,"0,72",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,566,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,DAS-3 (attitudes towards diabetes: need for special training),0,1,5,5,5,,150,69,81,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,567,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,DAS-3 (attitudes towards diabetes: perceived seriousness),0,1,5,5,7,,150,69,81,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,568,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,DAS-3 (attitudes towards diabetes: value of tight control),0,1,5,5,7,,150,69,81,,,,"0,56",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,569,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,DAS-3 (attitudes towards diabetes: psychosocial impact),0,1,5,5,6,,150,69,81,,,,"0,66",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,570,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,DAS-3 (attitudes towards diabetes: patient autonomy),0,1,5,5,8,,150,69,81,,,,"0,65",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,571,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,Perceptions of partner support: active engagement,0,1,5,5,5,,150,69,81,,,,"0,91",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,572,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,Perceptions of partner support: protective buffering,0,1,5,5,8,,150,69,81,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,573,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,Perceptions of partner support: overprotection,0,1,5,5,6,,150,69,81,,,,"0,74",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,574,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - Immediately post intervention,1,1,DES-20 (empowerment),0,1,5,5,20,,150,69,81,,,,"0,94",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,575,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,PAID (diabetes-related distress),0,1,4,4,20,,137,62,75,,,,"0,95",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,576,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions: time-line acute/chronic),0,1,5,5,6,,137,62,75,,,,"0,86",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,578,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions: time-line cyclical),0,1,5,5,4,,137,62,75,,,,"0,89",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,579,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions: time-line consequences),0,1,5,5,6,,137,62,75,,,,"0,75",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,580,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions: personal control),0,1,5,5,6,,137,62,75,,,,"0,72",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,581,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions: coherence),0,1,5,5,5,,137,62,75,,,,"0,8",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,583,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions: emotional representation),0,1,5,5,6,,137,62,75,,,,"0,83",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,584,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions; causal beliefs: own behavior in the past),0,1,5,5,6,,137,62,75,,,,"0,83",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,585,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,IPQ-R (illness perceptions; causal beliefs: psychological cause),0,1,5,5,5,,137,62,75,,,,"0,72",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,586,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,DAS-3 (attitudes towards diabetes: need for special training),0,1,5,5,5,,137,62,75,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,587,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,DAS-3 (attitudes towards diabetes: perceived seriousness),0,1,5,5,7,,137,62,75,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,588,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,DAS-3 (attitudes towards diabetes: psychosocial impact),0,1,5,5,6,,137,62,75,,,,"0,66",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,590,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,DAS-3 (attitudes towards diabetes: patient autonomy),0,1,5,5,8,,137,62,75,,,,"0,65",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,591,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,Perceptions of partner support: active engagement,0,1,5,5,5,,137,62,75,,,,"0,91",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,592,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,Perceptions of partner support: protective buffering,0,1,5,5,8,,137,62,75,,,,"0,73",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,593,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,Perceptions of partner support: overprotection,0,1,5,5,6,,137,62,75,,,,"0,74",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,594,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
155,155,0,https://doi.org/10.1371/journal.pone.0218242,2019,van puffelen,1,1,1,1,1,control and intervention - 6 months post intervention,1,1,DES-20 (empowerment),0,1,5,5,20,,137,62,75,,,,"0,94",,,,,,0,,,,reliability estimates for all scales: we don't know at which time point these are measured,595,1,0,1,NA,NA,NA,,,,0,NA,NA,NA,
199,199,0,https://doi.org/10.1371/journal.pone.0222992,2019,goswami,1,1,1,1,0,male and female,1,1,WHODAS (disability) - quantile 2,0,,,,36,,931,416,515,,,,"0,94",,,,,,0,,,,they measure this scale; then divide it into quartiles,828,0,NA,NA,NA,NA,NA,,,,0,NA,NA,NA,
